eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
42,Cherenkov,e-,2999.96,0.00539746,2.91221e-05,-950,Transportation,World
42,BremsTarget,e-,2999.91,0.0214563,-0.00228322,-754.375,Transportation,World
42,Collimator,gamma,1.18976,-1.83781,30.8591,-575,Transportation,World
42,Collimator,e+,28.2483,21.2829,8.45711,-575,Transportation,World
42,Collimator,gamma,2.6912,-8.60968,8.68115,-575,Transportation,World
42,Collimator,gamma,1.30512,-13.666,-18.0634,-575,Transportation,World
42,Collimator,gamma,15.5601,-4.57111,-17.6505,-575,Transportation,World
42,Collimator,gamma,0.3454,-8.64652,5.02372,-549.923,Transportation,World
42,Collimator,gamma,7.45551,5.04221,-15.7387,-575,Transportation,World
42,Collimator,gamma,1.9747,-9.93418,1.14543,-532.662,Transportation,World
42,Collimator,gamma,0.417746,21.6745,-23.1867,-575,Transportation,World
42,Collimator,gamma,9.98006,11.9512,-14.401,-575,Transportation,World
42,Phantom,gamma,9.98006,26.5583,-31.7964,-365,Transportation,World
42,Scint1,gamma,9.98006,37.8614,-45.2571,-202.5,Transportation,World
42,DWC1,gamma,9.98006,48.4689,-57.8895,-50,Transportation,World
42,DWC2,gamma,9.98006,65.8583,-78.5984,200,Transportation,World
42,Collimator,gamma,10.1181,5.42334,-9.724,-575,Transportation,World
42,Collimator,gamma,0.80302,-8.57514,-5.1446,-566.686,Transportation,World
42,Collimator,gamma,6.49484,-8.74328,-4.85335,-559.371,Transportation,World
42,Collimator,gamma,18.3224,-10.2534,-9.39368,-575,Transportation,World
42,Collimator,gamma,1.74305,39.3227,-55.359,-575,Transportation,World
42,Collimator,gamma,1.75076,-11.0118,-8.13048,-575,Transportation,World
42,Collimator,gamma,0.629543,7.95641,-6.05769,-567.117,Transportation,World
42,Collimator,gamma,1.60401,-9.7803,-2.08464,-565.709,Transportation,World
42,Collimator,e-,1.4126,9.40562,3.39623,-559.706,Transportation,World
42,Phantom,gamma,9.28315,-10.9248,0.233579,-365,Transportation,World
42,Scint1,gamma,9.28315,-15.5434,0.336211,-202.5,Transportation,World
42,DWC1,gamma,9.28315,-19.8779,0.432528,-50,Transportation,World
42,DWC2,gamma,9.28315,-26.9835,0.590425,200,Transportation,World
42,Scint2,gamma,9.28315,-38.2815,0.84148,597.5,Transportation,World
42,Collimator,e+,85.0077,6.78092,-47.6009,-575,Transportation,World
42,Phantom,gamma,1.04151,27.4127,-15.9485,-365,Transportation,World
42,Scint1,gamma,1.04151,42.4885,18.4978,-202.5,Transportation,World
42,DWC1,gamma,1.04151,56.6366,50.8244,-50,Transportation,World
42,DWC1,gamma,1.73675,22.9441,-99.5893,-50,Transportation,World
42,Collimator,gamma,0.319574,2.53801,-45.5512,-575,Transportation,World
42,Collimator,gamma,9.43311,-2.48554,-18.6574,-575,Transportation,World
42,Collimator,gamma,25.763,0.957644,-15.7484,-575,Transportation,World
42,Collimator,gamma,1.08655,-6.71318,-7.61929,-575,Transportation,World
42,Collimator,gamma,3.50687,-13.1425,-0.56847,-575,Transportation,World
42,Phantom,gamma,0.99619,-10.7376,1.3916,-365,Transportation,World
42,Scint1,gamma,0.99619,-15.2778,1.98213,-202.5,Transportation,World
42,DWC1,gamma,0.99619,-19.5387,2.53631,-50,Transportation,World
42,DWC2,gamma,0.99619,-26.5236,3.44481,200,Transportation,World
42,Scint2,gamma,0.99619,-37.6297,4.88932,597.5,Transportation,World
42,Phantom,gamma,0.745738,-12.1709,-3.83521,-365,Transportation,World
42,Scint1,gamma,0.745738,-17.3215,-5.45133,-202.5,Transportation,World
42,DWC1,gamma,0.745738,-22.155,-6.968,-50,Transportation,World
42,DWC2,gamma,0.745738,-30.0789,-9.45434,200,Transportation,World
42,Scint2,gamma,0.745738,-42.6778,-13.4076,597.5,Transportation,World
42,Collimator,gamma,9.54949,59.1775,-28.7995,-575,Transportation,World
42,Phantom,gamma,24.2358,-2.17904,-4.84422,-365,Transportation,World
42,Scint1,gamma,24.2358,-3.11238,-6.88035,-202.5,Transportation,World
42,DWC1,gamma,24.2358,-3.98828,-8.79117,-50,Transportation,World
42,DWC2,gamma,24.2358,-5.42419,-11.9237,200,Transportation,World
42,Scint2,gamma,24.2358,-7.70728,-16.9043,597.5,Transportation,World
42,Phantom,gamma,2.12009,-6.20141,-2.41588,-365,Transportation,World
42,Scint1,gamma,2.12009,-8.82725,-3.42992,-202.5,Transportation,World
42,DWC1,gamma,2.12009,-11.2915,-4.38157,-50,Transportation,World
42,DWC2,gamma,2.12009,-15.3313,-5.94164,200,Transportation,World
42,Scint2,gamma,2.12009,-21.7545,-8.42216,597.5,Transportation,World
42,Phantom,gamma,157.511,7.09209,-2.03976,-365,Transportation,World
42,Scint1,gamma,157.511,10.0507,-2.8939,-202.5,Transportation,World
42,DWC1,gamma,157.511,12.8273,-3.69547,-50,Transportation,World
42,DWC2,gamma,157.511,17.379,-5.00953,200,Transportation,World
42,Scint2,gamma,157.511,24.6163,-7.09888,597.5,Transportation,World
42,Phantom,gamma,1.43253,6.54725,-1.88592,-365,Transportation,World
42,Scint1,gamma,1.43253,9.27751,-2.67443,-202.5,Transportation,World
42,DWC1,gamma,1.43253,11.8398,-3.41441,-50,Transportation,World
42,DWC2,gamma,1.43253,16.0402,-4.62749,200,Transportation,World
42,Scint2,gamma,1.43253,22.7188,-6.55629,597.5,Transportation,World
42,Phantom,gamma,13.3045,4.91926,-1.27511,-365,Transportation,World
42,Scint1,gamma,13.3045,6.9681,-1.80787,-202.5,Transportation,World
42,DWC1,gamma,13.3045,8.89085,-2.30784,-50,Transportation,World
42,DWC2,gamma,13.3045,12.0429,-3.12746,200,Transportation,World
42,Scint2,gamma,13.3045,17.0547,-4.43066,597.5,Transportation,World
42,Collimator,e+,27.7101,55.7353,54.1692,-575,Transportation,World
42,Collimator,gamma,1.31956,41.052,-25.8298,-575,Transportation,World
42,Collimator,gamma,1.29614,11.9784,7.17697,-575,Transportation,World
42,Collimator,gamma,38.1743,9.31903,3.62708,-560.727,Transportation,World
42,Collimator,e+,11.5236,-3.84281,-9.23216,-535.339,Transportation,World
42,Collimator,gamma,0.379164,9.99993,0.0386866,-526.104,Transportation,World
42,Collimator,gamma,2.32552,-2.63226,-9.64734,-536.45,Transportation,World
42,Phantom,gamma,2.38874,-19.5061,-39.3371,-365,Transportation,World
42,Phantom,gamma,1.73258,-22.5493,5.9885,-365,Transportation,World
42,DWC1,gamma,1.73258,-77.9654,9.62131,-50,Transportation,World
