eventID,volume,energy_MeV,x_mm,y_mm,z_mm
26,Collimator,1.3208,-11.7307,-4.81374,-575
26,Collimator,3.59164,-23.3195,41.6775,-575
26,Collimator,0.757373,-11.2042,1.20401,-575
26,Collimator,53.4273,22.9647,-27.1026,-575
26,Collimator,2.09125,11.3283,-52.5607,-575
26,Collimator,2.74359,10.1914,-45.7337,-575
26,Collimator,1.35092,0.941018,-36.2513,-575
26,Collimator,2.20963,-14.0293,-18.6884,-575
26,Collimator,3.71393,31.3888,59.5811,-575
26,Cherenkov,1.12575,-37.1165,9.39122,-850
26,Collimator,1.28131,-46.7017,31.7062,-575
26,Collimator,1.4684,-8.15914,-8.16046,-575
26,Collimator,20.442,5.4055,-28.0054,-575
26,Phantom,0.572588,1.61194,4.55381,-365
26,Scint1,0.572588,-32.8406,16.3725,-202.5
26,DWC1,0.572588,-65.1729,27.4639,-50
26,Collimator,25.9334,4.89558,-10.4222,-575
26,Collimator,0.223407,8.64048,-5.0341,-565.463
26,Collimator,3.49117,-9.38321,-3.45767,-563.034
26,Collimator,1.70308,-9.89269,-1.46105,-553.435
26,Collimator,0.437111,-9.95086,0.990099,-565.403
26,Collimator,0.16819,6.26117,7.79729,-556.224
26,Collimator,25.222,-0.0675394,-17.8814,-575
26,Collimator,15.1555,3.07144,-15.4955,-575
26,Collimator,0.577431,1.57455,-18.783,-575
26,Collimator,47.3485,3.36735,-19.3375,-575
26,Collimator,7.91135,8.49963,5.26843,-530.346
26,Phantom,0.506412,-28.6002,9.09689,-365
26,Scint1,74.8948,23.7684,-1.50414,-202.5
26,DWC1,74.8948,33.8698,-4.12508,-50
26,DWC2,74.8948,50.4294,-8.42171,200
26,Phantom,0.704955,5.55564,3.02534,-365
26,Scint1,0.704955,7.92635,4.42014,-202.5
26,DWC1,0.704955,10.1512,5.7291,-50
26,DWC2,0.704955,13.7984,7.87493,200
26,Scint2,0.704955,19.5975,11.2868,597.5
26,Collimator,0.476634,-10.3217,-8.83473,-575
26,Phantom,0.56964,-3.17488,-12.2042,-365
26,Phantom,25.5579,0.157589,-14.8735,-365
26,Scint1,25.5579,0.221862,-21.0887,-202.5
26,DWC1,25.5579,0.282179,-26.9213,-50
26,DWC2,25.5579,0.381061,-36.4831,200
26,Collimator,8.65388,-41.7175,-0.703841,-575
26,Collimator,0.550558,37.6248,-50.7755,-575
26,Collimator,0.728489,-43.0617,16.8009,-575
26,Collimator,0.448856,6.73453,29.2259,-575
26,Phantom,3.30876,-2.38211,-8.6251,-365
26,Scint1,3.30876,-3.38152,-12.2114,-202.5
26,DWC1,3.30876,-4.31943,-15.577,-50
26,DWC2,3.30876,-5.85698,-21.0944,200
26,Scint2,3.30876,-8.30169,-29.8671,597.5
26,Phantom,1.53847,0.334656,-0.0280557,-365
26,Scint1,1.53847,0.469842,-0.0210507,-202.5
26,DWC1,1.53847,0.596709,-0.0144767,-50
26,DWC2,1.53847,0.804688,-0.00369976,200
26,Scint2,1.53847,1.13537,0.0134356,597.5
27,Collimator,10.9613,-8.87856,6.16545,-575
27,Collimator,35.6835,-11.2488,3.51008,-575
27,Collimator,0.305264,-2.17303,-9.76104,-569.731
27,Phantom,5.01588,-38.4189,26.2395,-365
27,DWC1,5.01588,-84.8,59.6832,-50
27,Collimator,2.7518,-11.3566,4.44168,-575
27,Collimator,4.95143,-13.0831,-0.47575,-575
27,Phantom,0.547649,-10.9448,7.31902,-365
27,Scint1,0.547649,-15.567,10.433,-202.5
27,DWC1,0.547649,-19.9047,13.3554,-50
27,DWC2,0.547649,-27.0157,18.1462,200
27,Scint2,0.547649,-38.3222,25.7635,597.5
27,Collimator,0.510999,-9.16063,4.01034,-563.413
27,Collimator,0.200826,30.6185,-33.2416,-575
27,Collimator,0.510999,-50.9616,-51.577,-575
27,Collimator,1.01223,-44.272,-11.8537,-575
27,Collimator,0.784623,21.4566,30.0647,-575
27,Collimator,13.4867,22.4815,-37.1893,-575
27,Phantom,9.25045,-16.1543,-1.86218,-365
27,Scint1,9.25045,-22.9818,-2.6324,-202.5
27,DWC1,9.25045,-29.3891,-3.35523,-50
27,DWC2,9.25045,-39.8928,-4.54018,200
27,Phantom,1.42951,-5.1054,1.97934,-365
27,Scint1,1.42951,-7.26343,2.83292,-202.5
27,DWC1,1.42951,-9.28866,3.63396,-50
27,DWC2,1.42951,-12.6087,4.94715,200
27,Scint2,1.42951,-17.8876,7.03513,597.5
