eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
14,Scint1,gamma,12.0538,-7.13481,15.5493,-202.5
14,DWC1,gamma,12.0538,-9.12677,19.9015,-50
14,DWC2,gamma,12.0538,-12.3923,27.0363,200
14,Scint2,gamma,12.0538,-17.5844,38.3807,597.5
14,Phantom,gamma,15.9658,-5.59127,0.665118,-365
14,Scint1,gamma,15.9658,-7.96713,0.942596,-202.5
14,DWC1,gamma,15.9658,-10.1968,1.203,-50
14,DWC2,gamma,15.9658,-13.852,1.62989,200
14,Scint2,gamma,15.9658,-19.6637,2.30864,597.5
14,Collimator,gamma,1.62772,-18.0204,-8.41062,-575
14,Collimator,gamma,0.492127,-0.9542,13.3559,-575
14,Phantom,gamma,1251.95,-1.72502,0.0534176,-365
14,Scint1,gamma,1251.95,-2.4638,0.0687597,-202.5
14,DWC1,gamma,1251.95,-3.15712,0.0831576,-50
14,DWC2,gamma,1251.95,-4.2937,0.106761,200
14,Scint2,gamma,1251.95,-6.10086,0.14429,597.5
14,Phantom,gamma,128.204,-1.21378,-0.393956,-365
14,Scint1,gamma,128.204,-1.73582,-0.568317,-202.5
14,DWC1,gamma,128.204,-2.22574,-0.731949,-50
14,DWC2,gamma,128.204,-3.02888,-1.0002,200
14,Scint2,gamma,128.204,-4.30588,-1.42671,597.5
14,Collimator,e+,13.9391,-54.8233,-50.2588,-575
14,Collimator,gamma,11.8542,-37.5682,-23.5658,-575
14,Collimator,gamma,5.59776,15.561,-6.21357,-575
14,Phantom,gamma,26.8878,-0.910073,-0.217787,-365
14,Scint1,gamma,26.8878,-1.30343,-0.317675,-202.5
14,DWC1,gamma,26.8878,-1.67258,-0.411415,-50
14,DWC2,gamma,26.8878,-2.27774,-0.565089,200
14,Scint2,gamma,26.8878,-3.23995,-0.80943,597.5
14,Collimator,gamma,0.510999,-6.56725,-15.7941,-575
14,Collimator,gamma,20.4242,42.3196,1.85346,-575
14,Collimator,gamma,0.379249,43.732,13.2472,-575
14,Collimator,gamma,1.90487,45.4607,-1.31777,-575
14,BremsTarget,gamma,0.30097,34.8333,-47.1279,-745.625
14,Collimator,gamma,0.452588,44.5356,-3.75262,-575
14,Collimator,gamma,0.404849,-37.2391,27.1373,-575
14,Collimator,gamma,1.9886,32.4938,11.5626,-575
14,Collimator,gamma,0.959972,56.7838,50.6614,-575
14,Collimator,gamma,1.69123,40.4071,-55.7677,-575
14,Collimator,gamma,11.863,12.5301,49.734,-575
14,Collimator,gamma,9.54757,-19.3678,20.4786,-575
14,Collimator,gamma,3.09572,-6.78473,-10.9116,-575
14,Collimator,gamma,2.41445,27.4273,-6.72646,-575
14,Collimator,gamma,1.78338,37.6063,50.5392,-575
14,Collimator,gamma,12.3686,27.1937,1.2002,-575
14,Collimator,gamma,3.01569,18.7466,-8.84286,-575
14,Collimator,gamma,13.5646,10.2984,-42.36,-575
14,Collimator,gamma,32.8665,33.486,-21.2648,-575
14,Collimator,gamma,0.447653,26.545,-27.9882,-575
14,Cherenkov,gamma,4.91916,36.0536,24.3603,-850
14,Phantom,gamma,5.43997,-9.85367,-3.17308,-365
14,Scint1,gamma,5.43997,-13.9393,-4.43257,-202.5
14,DWC1,gamma,5.43997,-17.7734,-5.61456,-50
14,DWC2,gamma,5.43997,-24.0589,-7.55224,200
14,Scint2,gamma,5.43997,-34.0529,-10.6332,597.5
14,Collimator,gamma,0.847954,-53.9224,-10.9871,-575
14,Collimator,gamma,1.72306,-51.2538,-16.6341,-575
15,Cherenkov,e-,2999.96,0.0255059,-0.0148389,-950
15,BremsTarget,e-,2999.89,-0.00114283,-0.0632156,-754.375
15,Collimator,e-,42.6103,8.44226,-40.4291,-575
15,Collimator,gamma,42.8588,-14.7786,3.02114,-575
15,BremsTarget,gamma,1.02968,-0.948345,-40.6812,-745.625
15,BremsTarget,gamma,0.218369,10.5091,-22.7667,-745.625
15,Phantom,gamma,0.445052,-16.9243,-42.1756,-365
15,DWC1,e-,0.218069,-59.701,-89.9898,-50
15,Collimator,gamma,1.58593,-42.6347,4.70965,-575
15,Phanto
11,Scint2,gamma,2.76788,27.3802,-37.6036,597.5
11,Collimator,e+,142.82,-16.3179,-7.24412,-575
11,Collimator,gamma,0.318043,-2.52463,-9.67607,-529.366
11,Collimator,gamma,1.23361,8.62604,5.05881,-546.368
11,Collimator,gamma,2.58397,-9.99349,-0.360641,-556.3
11,Phantom,gamma,1.85169,46.2831,32.6008,-365
11,Collimator,gamma,20.7347,-8.72966,-4.87781,-529.027
11,Phantom,gamma,5.90446,37.5006,-32.566,-365
11,Phantom,gamma,5.33274,-9.87349,-6.87349,-365
11,Scint1,gamma,5.33274,-14.0984,-9.78378,-202.5
11,DWC1,gamma,5.33274,-18.0633,-12.515,-50
11,DWC2,gamma,5.33274,-24.5632,-16.9924,200
11,Scint2,gamma,5.33274,-34.898,-24.1114,597.5
11,Collimator,e+,16.9025,39.2615,-41.742,-575
11,Collimator,e-,1.5599,11.4574,3.17985,-575
11,Collimator,e-,199.292,-16.6143,6.53606,-575
11,Phantom,gamma,29.1403,-45.2356,11.0431,-365
