eventID,volume,particle,energy_MeV,theta_deg,phi_deg
26,Collimator,gamma,2.74359,14.8036,-77.2359
26,Collimator,gamma,1.35092,11.5234,-88.3631
26,Collimator,gamma,2.20963,7.46586,-127.033
26,Collimator,gamma,3.71393,21.0985,62.2205
26,Cherenkov,gamma,1.12575,161.276,158.379
26,Collimator,gamma,1.28131,17.8494,145.314
26,Collimator,gamma,1.4684,3.69211,-135.22
26,Collimator,gamma,20.442,9.31266,-79.1243
26,Phantom,gamma,0.572588,12.6337,161.066
26,Scint1,gamma,0.572588,12.6337,161.066
26,DWC1,gamma,0.572588,12.6337,161.066
26,Collimator,gamma,25.9334,3.71809,-64.4432
26,Collimator,gamma,0.223407,122.051,-26.3326
26,Collimator,gamma,3.49117,58.4409,153.719
26,Collimator,gamma,1.70308,40.7067,148.29
26,Collimator,gamma,0.437111,69.5368,142.259
26,Collimator,gamma,0.16819,45.7203,85.604
26,Collimator,gamma,25.222,5.81842,-90.4271
26,Collimator,gamma,15.1555,5.13005,-78.8052
26,Collimator,gamma,0.577431,6.13443,-85.3282
26,Collimator,gamma,47.3485,6.38913,-80.1598
26,Collimator,gamma,7.91135,48.2547,79.8978
26,Phantom,gamma,0.506412,12.9789,178.253
26,Scint1,gamma,74.8948,3.91475,-14.5454
26,DWC1,gamma,74.8948,3.91475,-14.5454
26,DWC2,gamma,74.8948,3.91475,-14.5454
26,Phantom,gamma,0.704955,0.969734,30.4702
26,Scint1,gamma,0.704955,0.969734,30.4702
26,DWC1,gamma,0.704955,0.969734,30.4702
26,DWC2,gamma,0.704955,0.969734,30.4702
26,Scint2,gamma,0.704955,0.969734,30.4702
26,Collimator,gamma,0.476634,4.48284,-140.19
26,Phantom,gamma,0.56964,1.85579,-104.732
26,Phantom,gamma,25.5579,2.19045,-89.4075
26,Scint1,gamma,25.5579,2.19045,-89.4075
26,DWC1,gamma,25.5579,2.19045,-89.4075
26,DWC2,gamma,25.5579,2.19045,-89.4075
26,Collimator,gamma,8.65388,13.6432,-179.37
26,Collimator,gamma,0.550558,19.7857,-53.6997
26,Collimator,gamma,0.728489,14.9645,158.71
26,Collimator,gamma,0.448856,8.56941,84.1335
26,Phantom,gamma,3.30876,1.31245,-105.572
26,Scint1,gamma,3.30876,1.31245,-105.572
26,DWC1,gamma,3.30876,1.31245,-105.572
26,DWC2,gamma,3.30876,1.31245,-105.572
26,Scint2,gamma,3.30876,1.31245,-105.572
26,Phantom,gamma,1.53847,0.0477292,2.96628
26,Scint1,gamma,1.53847,0.0477292,2.96628
26,DWC1,gamma,1.53847,0.0477292,2.96628
26,DWC2,gamma,1.53847,0.0477292,2.96628
26,Scint2,gamma,1.53847,0.0477292,2.96628
27,Collimator,gamma,10.9613,3.56768,144.609
27,Collimator,gamma,35.6835,3.88275,162.311
27,Collimator,gamma,0.305264,105.857,-54.3959
27,Phantom,gamma,5.01588,10.2887,144.206
27,DWC1,gamma,5.01588,10.2887,144.206
27,Collimator,gamma,2.7518,4.02153,158.26
27,Collimator,gamma,4.95143,4.30322,-178.059
27,Phantom,gamma,0.547649,1.96431,146.031
27,Scint1,gamma,0.547649,1.96431,146.031
27,DWC1,gamma,0.547649,1.96431,146.031
27,DWC2,gamma,0.547649,1.96431,146.031
27,Scint2,gamma,0.547649,1.96431,146.031
27,Collimator,gamma,0.510999,107.436,102.637
27,Collimator,gamma,0.200826,14.8516,-47.225
27,Collimator,gamma,0.510999,23.3669,-133.229
27,Collimator,gamma,1.01223,14.9026,-164.639
27,Collimator,gamma,0.784626,12.1735,54.6567
27,Collimator,gamma,13.4867,14.017,,-58.801
27,Phantom,gamma,9.25045,2.42111,-173.564
27,Scint1,gamma,9.25045,2.42111,-173.564
27,DWC1,gamma,9.25045,2.42111,-173.564
27,DWC2,gamma,9.25045,2.42111,-173.564
27,Phantom,gamma,1.42951,0.818202,158.42
27,Scint1,gamma,1.42951,0.818202,158.42
27,DWC1,gamma,1.42951,0.818202,158.42
27,DWC2,gamma,1.42951,0.818202,158.42
27,Scint2,gamma,1.42951,0.818202,158.42
27,Phantom,gamma,564.065,0.438272,58.865
27,Scint1,gamma,564.065,0.438272,58.865
27,DWC1,gamma,564.065,0.438272,58.865
27,DWC2,gamma,564.065,0.438272,58.865
27,Scint2,gamma,564.065,0.438272,58.865
27,Phantom,gamma,4.63195,0.307817,160.071
27,Phantom,gamma,42.6244,0.233248,174.055
27,Scint1,gamma,42.6244,0.233248,174.055
27,DWC1,gamma,42.6244,0.233248,174.055
27,DWC2,gamma,42.6244,0.233248,174.055
27,Scint2,gamma,42.6244,0.233248,174.055
27,Phantom,gamma,9.62494,0.389648,-172.224
27,Scint1,gamma,9.62494,0.389648,-172.224
27,DWC1,gamma,9.62494,0.389648,-172.224
27,DWC2,gamma,9.62494,0.389648,-172.224
27,Scint2,gamma,9.62494,0.389648,-172.224
27,Collimator,gamma,0.996931,62.3815,-56.6635
27,Collimator,gamma,23.7206,7.13849,107.889
27,Phantom,gamma,23.7206,7.13849,107.889
27,DWC1,gamma,23.7206,7.13849,107.889
27,Collimator,gamma,1.23776,6.03003,104.481
27,Collimator,gamma,2.14084,4.10978,110.041
