eventID,volume,energy_MeV,x_mm,y_mm,z_mm
37,Collimator,0.722359,-4.52361,-8.91835,-551.689
37,Phantom,1.5968,-37.1457,44.1673,-365
37,Collimator,9.35556,13.3741,3.83757,-575
37,Cherenkov,0.393425,48.8568,10.1434,-850
37,Collimator,0.982088,5.46577,-24.0068,-575
37,Collimator,0.313776,-21.8517,-53.1554,-575
37,Phantom,442.939,2.75303,4.38177,-365
37,Scint1,442.939,3.82099,6.19333,-202.5
37,DWC1,442.939,4.82322,7.89341,-50
37,DWC2,442.939,6.46624,10.6804,200
37,Scint2,442.939,9.07862,15.1118,597.5
37,Phantom,3.93106,5.45439,3.50984,-365
37,Scint1,3.93106,7.65514,4.95516,-202.5
37,DWC1,3.93106,9.72046,6.31154,-50
37,DWC2,3.93106,13.1062,8.53512,200
37,Scint2,3.93106,18.4896,12.0706,597.5
37,Phantom,3.15393,5.73877,3.01878,-365
37,Scint1,3.15393,8.05864,4.25824,-202.5
37,DWC1,3.15393,10.2357,5.42142,-50
37,DWC2,3.15393,13.8048,7.32828,200
37,Scint2,3.15393,19.4795,10.3602,597.5
37,Collimator,6.04327,15.8006,-15.6617,-575
37,Cherenkov,0.510999,-11.7471,12.7842,-850
37,Collimator,1.26075,6.63636,-58.9215,-575
37,Collimator,18.896,-11.67,7.86393,-575
37,Collimator,9.23738,8.01683,-5.9775,-551.722
37,Collimator,1.31386,41.1879,27.1593,-575
37,Collimator,20.9119,1.37423,11.4812,-575
37,Collimator,9.37262,-12.1114,-33.0252,-575
37,Collimator,0.81826,-3.50993,21.8707,-575
37,Collimator,10.5343,45.9056,6.12168,-575
37,Collimator,9.59718,7.87797,6.15935,-531.217
37,Phantom,9.59718,13.6588,10.7635,-365
37,Scint1,9.59718,19.3103,15.2648,-202.5
37,DWC1,9.59718,24.614,19.489,-50
37,DWC2,9.59718,33.3087,26.414,200
37,Scint2,9.59718,47.1332,37.4247,597.5
38,Collimator,1.27193,42.8158,-25.572,-575
38,Collimator,0.594803,23.6367,-23.1152,-575
38,Collimator,13.0374,19.6088,-28.3022,-575
38,Collimator,3.26214,23.7721,-28.0401,-575
38,Collimator,44.7052,-7.94045,9.28127,-575
38,Collimator,0.521871,7.87431,-6.16403,-550.841
38,Collimator,0.510999,-4.01266,-9.15961,-537.562
38,Phantom,8.07347,-3.55206,-34.0868,-365
38,Phantom,2.50239,-5.95163,10.1282,-365
38,Scint1,2.50239,-3.6674,10.1301,-202.5
38,DWC1,2.50239,-1.52373,10.1319,-50
38,DWC2,2.50239,1.99048,10.1349,200
38,Scint2,2.50239,7.57807,10.1395,597.5
38,Collimator,38.8413,-11.1333,3.55852,-575
38,Collimator,0.510999,-1.71898,-9.85115,-560.926
38,Phantom,3.78725,-5.28147,1.04428,-365
38,Scint1,3.78725,-7.46644,1.52368,-202.5
38,DWC1,3.78725,-9.51695,1.97359,-50
38,DWC2,3.78725,-12.8784,2.71113,200
38,Scint2,3.78725,-18.2232,3.88382,597.5
38,Collimator,2.81155,24.2967,15.5727,-575
38,Collimator,1.82106,28.9285,11.3126,-575
38,Collimator,2.71363,-20.9055,-18.97,-575
38,Phantom,2.71363,-45.7803,-41.5349,-365
38,DWC1,2.71363,-83.0924,-75.3823,-50
38,Phantom,0.854235,-9.74563,-6.76805,-365
38,Scint1,0.854235,-13.8112,-9.58035,-202.5
38,DWC1,0.854235,-17.6265,-12.2196,-50
38,DWC2,0.854235,-23.8812,-16.5462,200
