eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
65,Phantom,e+,83.7504,0.172054,-11.0651,-365
65,Scint1,e+,64.1741,0.564804,-35.5166,-202.5
65,DWC1,e+,62.895,-3.23332,-60.7908,-50
65,DWC1,gamma,0.498478,-7.35916,-57.8718,-50
65,DWC2,gamma,0.498478,-20.5709,-94.3926,200
65,Scint1,gamma,13.9052,9.54495,-14.0433,-202.5
65,DWC1,gamma,13.9052,18.7474,-16.606,-50
65,DWC2,gamma,13.9052,33.8333,-20.8073,200
65,Collimator,gamma,4.76929,3.97773,18.0762,-575
65,Collimator,e-,5.27189,-9.75443,5.86139,-575
65,Collimator,e-,66.638,-21.4376,-28.0692,-575
65,Collimator,gamma,1.83234,-8.54899,-29.4312,-575
65,Collimator,gamma,0.229151,-2.85732,-22.1633,-575
65,Collimator,gamma,12.9866,7.88994,-9.06828,-575
65,Collimator,gamma,2.19768,14.4315,-13.7365,-575
65,Collimator,gamma,0.318937,-18.8332,-58.0221,-575
65,Collimator,gamma,1.40511,45.5516,-3.68764,-575
65,Collimator,gamma,20.4181,5.78637,-43.5111,-575
65,Collimator,gamma,2.8898,-47.6886,-57.8226,-575
65,Collimator,gamma,5.35201,33.2918,-14.8652,-575
65,Collimator,gamma,122.403,11.5138,3.7498,-575
65,Collimator,gamma,0.243461,3.69413,9.29265,-569.126
65,Collimator,gamma,1.48864,5.69569,-8.21943,-562.961
65,Collimator,gamma,0.598584,5.60793,-8.27956,-557.102
65,Collimator,gamma,6.24388,3.66504,-9.30417,-557.319
65,Collimator,gamma,0.254971,-4.76455,-8.79199,-563.168
65,Collimator,gamma,3.86485,0.0108288,9.99999,-547.998
65,Collimator,gamma,0.510999,6.90876,-7.22973,-540.798
65,Phantom,gamma,6.45995,16.4752,2.70118,-365
65,Scint1,gamma,6.45995,23.412,3.84276,-202.5
65,DWC1,gamma,6.45995,29.9218,4.91408,-50
65,DWC2,gamma,6.45995,40.5937,6.67036,200
65,Phantom,gamma,30.3254,5.4584,12.469,-365
65,Scint1,gamma,30.3254,7.77247,17.7091,-202.5
65,DWC1,gamma,30.3254,9.94414,22.6267,-50
65,DWC2,gamma,30.3254,13.5043,30.6883,200
65,Scint2,gamma,30.3254,19.1648,43.5064,597.5
65,Collimator,e-,36.0123,40.0835,59.3451,-575
65,Collimator,gamma,0.24301,29.1404,21.9725,-575
65,Collimator,gamma,5.20199,31.6517,37.5728,-575
65,Collimator,gamma,1.22233,20.1423,19.2078,-575
65,Collimator,gamma,0.417073,7.00962,29.413,-575
65,Collimator,gamma,1.93245,-13.8386,28.3366,-575
65,Collimator,gamma,10.2939,-16.5191,28.838,-575
65,Collimator,gamma,59.7228,-16.0238,4.56607,-575
65,Phantom,gamma,62.076,-2.63148,0.227181,-365
