eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
36,Collimator,e-,2.12303,9.62106,-2.72677,-547.969,Transportation,World
36,Collimator,gamma,0.0061604,8.56643,-5.1591,-562.391,Transportation,World
36,Collimator,gamma,4.02357,42.8644,19.9563,-575,Transportation,World
36,Collimator,gamma,1.89207,27.2201,24.1066,-575,Transportation,World
36,Collimator,gamma,5.28865,-9.9994,-0.109898,-572.779,Transportation,World
36,Phantom,gamma,5.28865,-21.6799,-0.230109,-365,Transportation,World
36,Scint1,gamma,5.28865,-30.8151,-0.324123,-202.5,Transportation,World
36,DWC1,gamma,5.28865,-39.3881,-0.412352,-50,Transportation,World
36,DWC2,gamma,5.28865,-53.4421,-0.556989,200,Transportation,World
36,Collimator,gamma,1.80192,51.4885,-16.4258,-575,Transportation,World
36,Collimator,gamma,11.5448,12.4322,-14.4035,-575,Transportation,World
36,Collimator,gamma,14.5518,29.6726,-33.9027,-575,Transportation,World
36,Collimator,gamma,2.57454,2.82,-15.8352,-575,Transportation,World
36,Collimator,gamma,0.328038,3.3454,-36.3215,-575,Transportation,World
36,Collimator,e-,0.724298,42.665,31.2114,-575,Transportation,World
36,Collimator,gamma,2.29436,2.10606,-54.5336,-575,Transportation,World
36,Collimator,gamma,4.05519,9.32458,47.5695,-575,Transportation,World
36,Collimator,e-,8.23853,3.8864,-45.8082,-575,Transportation,World
36,Collimator,gamma,0.960778,24.3605,-11.4167,-575,Transportation,World
36,Collimator,gamma,0.909039,37.0404,-16.5597,-575,Transportation,World
36,Collimator,gamma,0.736099,-27.2062,-0.315149,-575,Transportation,World
36,Phantom,gamma,73.9835,1.5794,-1.56966,-365,Transportation,World
36,Scint1,gamma,73.9835,2.29118,-2.21545,-202.5,Transportation,World
36,DWC1,gamma,73.9835,2.95915,-2.8215,-50,Transportation,World
36,DWC2,gamma,73.9835,4.05418,-3.81502,200,Transportation,World
36,Scint2,gamma,73.9835,5.79528,-5.39472,597.5,Transportation,World
36,Collimator,gamma,13.6307,30.4999,-3.90167,-575,Transportation,World
37,Cherenkov,e-,999.958,0.0889921,0.0284714,-950,Transportation,World
37,BremsTarget,e-,999.917,0.188401,0.0645604,-754.375,Transportation,World
37,Collimator,gamma,23.246,-12.998,-48.0106,-575,Transportation,World
37,Collimator,gamma,1.20852,-14.006,-6.8253,-575,Transportation,World
37,Phantom,gamma,0.928637,-4.02122,2.26453,-365,Transportation,World
37,Collimator,e+,21.6803,24.6748,25.7063,-575,Transportation,Worl

37,Collimator,gamma,1.60893,34.4858,26.2592,-575,Transportation,World
37,Collimator,gamma,0.203946,47.9813,57.7875,-575,Transportation,World
37,Collimator,gamma,0.766397,6.60338,-8.18003,-575,Transportation,World
37,Phantom,e-,123.451,9.46556,1.61493,-365,Transportation,World
37,Scint1,e-,117.831,17.3169,1.16768,-202.5,Transportation,World
37,DWC1,e-,116.985,27.3827,1.63158,-50,Transportation,World
37,DWC2,e-,116.903,43.3907,0.538162,200,Transportation,World
37,Scint1,gamma,0.261016,12.8009,2.55511,-202.5,Transportation,World
37,DWC1,gamma,0.261016,15.8358,3.39037,-50,Transportation,World
37,DWC2,gamma,0.261016,20.811,4.75967,200,Transportation,World
37,Scint2,gamma,0.261016,28.7216,6.93684,597.5,Transportation,World
37,Phantom,gamma,7.1994,13.4625,4.93643,-365,Transportation,World
37,Scint1,gamma,7.1994,19.013,6.99507,-202.5,Transportation,World
37,DWC1,gamma,7.1994,24.2218,8.92704,-50,Transportation,World
37,DWC2,gamma,7.1994,32.761,12.0942,200,Transportation,World
37,Scint2,gamma,7.1994,46.3383,17.13,597.5,Transportation,World
37,Phantom,gamma,0.749189,-3.40086,11.7338,-365,Transportation,World
37,Scint1,gamma,0.749189,-5.04619,16.6886,-202.5,Transportation,World
37,DWC1,gamma,0.749189,-6.59027,21.3385,-50,Transportation,World
37,DWC2,gamma,0.749189,-9.12155,28.9613,200,Transportation,World
37,Scint2,gamma,0.749189,-13.1463,41.0816,597.5,Transportation,World
37,Collimator,gamma,0.70171,6.16942,7.88882,-575,Transportation,World
37,Collimator,gamma,0.319615,11.0295,8.45578,-575,Transportation,World
37,Collimator,gamma,16.6144,11.0402,8.76018,-575,Transportation,World
37,Collimator,gamma,0.722359,-4.52361,-8.91835,-551.689,Transportation,World
37,Phantom,gamma,1.5968,-37.1457,44.1673,-365,Transportation,World
37,Collimator,gamma,9.35556,13.3741,3.83757,-575,Transportation,World
37,BremsTarget,e+,2.5718,1.90215,-2.82254,-745.625,Transportation,World
37,Cherenkov,gamma,0.393425,48.8568,10.1434,-850,Transportation,World
37,Collimator,gamma,0.982088,5.46577,-24.0068,-575,Transportation,World
37,Collimator,gamma,0.313776,-21.8517,-53.1554,-575,Transportation,World
37,Phantom,gamma,442.939,2.75303,4.38177,-365,Transportation,World
37,Scint1,gamma,442.939,3.82099,6.19333,-202.5,Transportation,World
37,DWC1,gamma,442.939,4.82322,7.89341,-50,Transportation,World
37,DWC2,gamma,442.939,6.46624,10.6804,200,Transportation,World
37,Scint2,gamma,442.939,9.07862,15.1118,597.5,Transportation,World
37,Phantom,gamma,3.93106,5.45439,3.50984,-365,Transportation,World
37,Scint1,gamma,3.93106,7.65514,4.95516,-202.5,Transportation,World
37,DWC1,gamma,3.93106,9.72046,6.31154,-50,Transportation,World
37,DWC2,gamma,3.93106,13.1062,8.53512,200,Transportation,World
37,Scint2,gamma,3.93106,18.4896,12.0706,597.5,Transportation,World
37,Phantom,gamma,3.15393,5.73877,3.01878,-365,Transportation,World
37,Scint1,gamma,3.15393,8.05864,4.25824,-202.5,Transportation,World
37,DWC1,gamma,3.15393,10.2357,5.42142,-50,Transportation,World
37,DWC2,gamma,3.15393,13.8048,7.32828,200,Transportation,World
37,Scint2,gamma,3.15393,19.4795,10.3602,597.5,Transportation,World
37,Collimator,gamma,6.04327,15.8006,-15.6617,-575,Transportation,World
37,Cherenkov,gamma,0.510999,-11.7471,12.7842,-850,Transportation,World
37,Collimator,e+,8.7344,24.7378,-56.8019,-575,Transportation,World
37,Collimator,gamma,1.26075,6.63636,-58.9215,-575,Transportation,World
37,BremsTarget,e-,1.83624,1.45388,0.844952,-745.625,Transportation,World
37,Collimator,gamma,18.896,-11.67,7.86393,-575,Transportation,World
37,Collimator,gamma,9.23738,8.01683,-5.9775,-551.722,Transportation,World
37,Collimator,gamma,1.31386,41.1879,27.1593,-575,Transportation,World
37,Collimator,gamma,20.9119,1.37423,11.4812,-575,Transportation,World
37,BremsTarget,e-,7.51594,0.332563,-0.734671,-745.625,Transportation,World
37,Collimator,gamma,9.37262,-12.1114,-33.0252,-575,Transportation,World
37,Collimator,gamma,0.81826,-3.50993,21.8707,-575,Transportation,World
37,Collimator,gamma,10.5343,45.9056,6.12168,-575,Transportation,World
37,Collimator,gamma,9.59718,7.87797,6.15935,-531.217,Transportation,World
37,Phantom,gamma,9.59718,13.6588,10.7635,-365,Transportation,World
37,Scint1,gamma,9.59718,19.3103,15.2648,-202.5,Transportation,World
37,DWC1,gamma,9.59718,24.614,19.489,-50,Transportation,World
37,DWC2,gamma,9.59718,33.3087,26.414,200,Transportation,World
37,Scint2,gamma,9.59718,47.1332,37.4247,597.5,Transportation,World
38,Cherenkov,e-,1000,0,0,-950,Transportation,World
38,BremsTarget,e-,999.899,-0.0966204,-0.0451283,-754.375,Transportation,World
38,Collimator,e-,41.8787,29.0267,25.4132,-575,Transportation,World
38,Collimator,gamma,1.27193,42.8158,-25.572,-575,Transportation,World
38,Collimator,gamma,0.594803,23.6367,-23.1152,-575,Transportation,World
