eventID,volume,energy_MeV,x_mm,y_mm,z_mm
0,Scint1,22.5215,-0.358605,-13.7296,-202.5
0,DWC1,22.5215,-1.06153,-17.0851,-50
0,DWC2,22.5215,-2.21386,-22.5859,200
0,Scint2,22.5215,-4.04608,-31.3321,597.5
0,Phantom,80.7126,5.79852,-11.5796,-365
0,Scint1,80.7126,8.25685,-16.5063,-202.5
0,DWC1,80.7126,10.5639,-21.1298,-50
0,DWC2,80.7126,14.3459,-28.7094,200
0,Scint2,80.7126,20.3594,-40.7609,597.5
0,Collimator,2.62452,37.6768,-17.2591,-575
0,Phantom,1.24798,6.42966,-15.6052,-365
0,Scint1,1.24798,9.15732,-22.249,-202.5
0,DWC1,1.24798,11.7171,-28.484,-50
0,DWC2,1.24798,15.9135,-38.7053,200
0,DWC2,0.295138,-58.1612,-72.0156,400
0,Collimator,32.5926,4.82538,-8.75875,-549.148
0,Collimator,0.510999,2.33146,-9.72442,-527.012
0,Phantom,3.20536,-5.56133,-35.5121,-365
0,DWC1,3.20536,-24.4581,-83.5523,-50
0,Collimator,4.10594,4.49255,-8.93404,-548.025
0,Collimator,0.510999,-7.30589,6.82817,-532.945
0,Collimator,0.298604,-11.5894,-50.0194,-575
0,Phantom,65.2739,5.37906,-1.26443,-365
0,Scint1,65.2739,7.66139,-1.80858,-202.5
0,DWC1,65.2739,9.80328,-2.31924,-50
0,DWC2,65.2739,13.3146,-3.1564,200
0,Scint2,65.2739,18.8975,-4.48748,597.5
0,Phantom,46.4965,4.8836,-5.45746,-365
0,Scint1,46.4965,6.95552,-7.78257,-202.5
0,DWC1,46.4965,8.89992,-9.9646,-50
0,DWC2,46.4965,12.0875,-13.5417,200
0,Scint2,46.4965,17.1557,-19.2293,597.5
0,Phantom,3.2553,3.10422,-6.97625,-365
0,Scint1,3.2553,4.42151,-9.94541,-202.5
0,DWC1,3.2553,5.65774,-12.7319,-50
0,DWC2,3.2553,7.68434,-17.2998,200
0,Scint2,3.2553,10.9066,-24.5629,597.5
0,Phantom,695.611,1.29404,2.61252,-365
0,Scint1,695.611,1.84328,3.70963,-202.5
0,DWC1,695.611,2.35872,4.73923,-50
0,DWC2,695.611,3.2037,6.42709,200
0,Scint2,695.611,4.54722,9.11079,597.5
0,Phantom,399.288,0.0268671,2.20501,-365
0,Scint1,399.288,0.0389027,3.12927,-202.5
0,DWC1,399.288,0.0501977,3.99666,-50
0,DWC2,399.288,0.068714,5.4186,200
0,Scint2,399.288,0.098155,7.6795,597.5
0,Phantom,8.67005,0.411261,2.10277,-365
0,Scint1,8.67005,0.586183,2.98375,-202.5
0,DWC1,8.67005,0.75034,3.81051,-50
0,DWC2,8.67005,1.01945,5.16586,200
0,Scint2,8.67005,1.44733,7.32085,597.5
0,Phantom,37.0305,-6.49784,-11.2277,-365
0,Scint1,37.0305,-9.25804,-16.0191,-202.5
0,DWC1,37.0305,-11.8484,-20.5156,-50
0,DWC2,37.0305,-16.0948,-27.887,200
0,Scint2,37.0305,-22.8467,-39.6075,597.5
0,Phantom,4.65469,-10.8009,-13.0623,-365
0,Scint1,4.65469,-15.3924,-18.6345,-202.5
0,DWC1,4.65469,-19.7014,-23.8638,-50
0,DWC2,4.65469,-26.7652,-32.4364,200
0,Scint2,4.65469,-37.9968,-46.0669,597.5
0,Cherenkov,1.76089,-3.68127,31.2174,-850
0,Phantom,0.935466,0.814992,1.15471,-365
0,Scint1,0.935466,1.1607,1.63416,-202.5
0,DWC1,0.935466,1.48513,2.0841,-50
0,DWC2,0.935466,2.01698,2.82171,200
0,Scint2,0.935466,2.86263,3.99451,597.5
0,Phantom,859.442,2.1489,0.0216995,-365
0,Scint1,859.442,3.05822,0.0222891,-202.5
0,DWC1,859.442,3.91159,0.0228424,-50
0,DWC2,859.442,5.31054,0.0237495,200
0,Scint2,859.442,7.53489,0.0251919,597.5
0,Collimator,9.47353,6.11322,32.521,-575
0,Collimator,0.270276,-38.8465,49.5987,-575
0,Phantom,845.083,0.476297,1.97516,-365
0,Scint1,845.083,0.678536,2.80061,-202.5
0,DWC1,845.083,0.86833,3.57526,-50
0,DWC2,845.083,1.17947,4.84518,200
