eventID,particle,x_mm,y_mm,z_mm,edep_MeV
2,e-,5.85793,0.378808,-351.715,0.526984
2,e-,5.21094,-3.01648,-353.509,0.915739
2,e-,3.86613,-3.89313,-347.782,0.845323
2,e-,0.838235,-4.69748,-344.051,0.638672
2,e-,-1.62696,-3.84261,-341.195,0.509049
2,e-,-4.01831,-3.27041,-339.316,0.418145
2,e-,-4.8317,-3.11275,-337.003,0.319952
2,e-,-4.73703,-2.36495,-335.497,0.340679
2,e-,-4.84352,-1.44054,-335.044,0.0175596
2,e+,15.561,6.5034,-365,1.04716
2,e+,15.8453,6.56938,-358.608,1.5293
2,e+,16.2581,6.68821,-349.953,2.48888
2,e-,15.8453,6.56938,-358.608,0.677217
2,e-,16.9182,7.50389,-357.274,0.347661
2,e-,16.8533,8.02735,-356.822,0.0517892
3,e-,-15.2866,-4.45998,-363.367,0.330485
3,e-,-12.3365,9.20668,-338.091,0.0129825
3,e-,-21.0108,5.66263,-343.943,0.486707
3,e-,-22.5942,6.43616,-341.684,0.593434
3,e-,-23.2719,6.82703,-338.264,0.528819
3,e-,-23.8054,5.60627,-335.94,0.227732
3,e-,-10.2765,-3.82699,-365,5.27912
3,e-,-11.2081,-4.18725,-337.84,0.337622
3,e-,-11.2887,-4.22651,-335.807,0.144493
3,e-,-11.2887,-4.22651,-335.807,0.0680383
3,e-,-11.0872,-4.08322,-335.48,0.0462529
3,e-,-10.9787,-3.9748,-335.247,0.0652085
3,e-,-10.9588,-3.91439,-335.142,0.0218266
3,e-,-10.8902,-3.84631,-335.044,0.0103348
3,e-,-11.2081,-4.18725,-337.84,0.313296
3,e-,-11.5153,-3.61233,-337.418,0.118771
0.447286,0.148752,-344.183,0.386348
38,e-,-0.535473,0.445752,-342.457,0.337482
38,e-,0.260307,0.550697,-341.757,0.220476
39,e-,-1.96395,-14.1703,-355.544,0.231729
39,e-,-2.60445,-10.1138,-355.41,0.557086
39,e-,-2.70442,-9.66224,-352.668,0.409407
39,e-,-3.76356,-11.2811,-352.012,0.369958
39,e-,-4.50022,-12.4738,-351.955,0.361658
39,e-,-5.4487,-7.1102,-343.217,0.262109
39,e-,35.7093,8.9944,-365,0.893935
39,e-,36.0645,9.05728,-359.198,0.630728
39,e-,36.2231,9.15434,-356.145,2.04398
39,e-,37.6348,7.56553,-345.423,1.33781
39,e-,37.0952,5.7528,-337.465,0.374462
39,e-,37.0952,5.7528,-337.465,0.310629
39,e-,37.6299,5.75759,-337.078,0.0749801
39,e+,11.1779,-10.4326,-365,2.51046
39,e+,12.1599,-10.5825,-351.521,2.83636
39,e-,12.1599,-10.5825,-351.521,0.482987
39,e-,13.0667,-8.94767,-348.995,0.562965
39,e-,13.0805,-6.46697,-348.492,0.174571
39,e-,12.6273,-6.96722,-347.819,0.327783
