eventID,particle,x_mm,y_mm,z_mm,edep_MeV
39,e-,12.2881,-6.93881,-347.103,0.110656
39,e-,12.6273,-6.96722,-347.819,0.327714
39,e-,0.615653,-14.3567,-349.406,0.210607
39,e+,0.610356,-9.02352,-357.516,0.731931
39,e+,0.42993,-8.90437,-353.025,1.44848
39,e+,-0.875869,-8.29248,-344.763,1.65258
39,e-,0.42993,-8.90437,-353.025,0.362925
39,e-,0.0202504,-7.82926,-352.13,0.399775
39,e-,0.610356,-9.02352,-357.516,1.0403
39,e-,0.473258,-8.90036,-351.19,3.31435
39,gamma,0.473258,-8.90036,-351.19,0.000538
39,e-,0.408839,-8.79048,-347.605,0.0116856
39,e+,-0.87975,-2.95926,-365,2.30836
39,e+,-0.898768,-3.0297,-352.19,2.94627
39,e+,9.379,7.81879,-365,1.01425
39,e+,9.56198,7.98971,-360.543,0.442658
39,e+,9.74108,8.1422,-357.717,1.68961
39,e+,10.7476,9.37898,-347.364,1.44303
39,e+,11.451,9.88821,-339.842,0.00352596
39,gamma,9.74108,8.1422,-357.717,0.000538
39,e-,9.82634,8.23327,-356.444,0.00905085
39,gamma,9.56198,7.98971,-360.543,0.00361
39,e-,9.56712,7.99399,-360.454,0.000453254
39,e+,-4.23934,-11.2701,-365,0.365007
39,e+,-4.25964,-11.3293,-363.073,4.86918
39,e-,-4.25964,-11.3293,-363.073,0.344696
39,e-,-4.83863,-11.5648,-360.811,0.558494
39,e-,-5.44169,-11.8748,-358.175,1.05443
39,e-,-7.10318,-12.0049,-352.594,3.25713
39,e-,-15.2144,-12.5883,-337.657,0.450262
39,e-,-7.10318,-12.0049,-352.594,0.287153
39,e-,-5.44169,-11.8748,-358.175,0.292582
39,e-,-5.82415,-12.2492,-358.016,0.0527325
39,gamma,-4.83863,-11.5648,-360.811,0.000538
39,e-,-6.8404,-12.225,-353.212,0.0153692
0.770373
11,e-,0.272626,-1.26653,-342.55,0.58266
11,e-,0.553489,-1.54473,-340.06,0.433892
11,e-,1.08849,-1.88132,-338.477,0.359464
11,e-,0.703306,-2.49098,-337.952,0.119796
11,e-,13.1489,-2.94991,-365,0.636134
11,e-,13.2726,-2.97612,-361.311,2.02487
11,e-,13.6771,-3.11373,-348.799,0.718098
11,e-,13.8525,-3.20843,-344.456,1.10953
11,e-,14.0352,-3.32355,-339.142,0.0836203
11,e-,14.0401,-3.32978,-338.951,0.653373
11,e-,14.0401,-3.32978,-338.951,0.369025
11,e-,13.0986,-3.6742,-338.106,0.312267
11,e-,14.0352,-3.32355,-339.142,0.357519
11,e-,-7.59664,37.9373,-357.503,0.283326
11,e-,-29.473,46.0223,-337.718,0.28754
11,e-,-34.5169,-8.5242,-346.672,0.361665
11,e-,-34.5076,0.276843,-357.292,2.64104
11,e-,-37.1076,1.62082,-344.751,1.09435
11,e-,-39.7173,0.666045,-338.282,0.673423
11,e-,-4.8834,6.98901,-345.772,0.7483
11,e-,-4.97081,6.9794,-340.791,0.944639
11,e-,-4.97081,6.9794,-340.791,0.519471
11,e-,-4.46399,8.27157,-339.175,0.376253
11,e-,-5.10467,9.04641,-338.325,0.308135
.335906
49,e-,-0.655947,6.4639,-337.558,0.165096
49,e-,-0.186036,1.9869,-349.887,1.03918
49,e-,2.03047,2.10246,-345.27,0.680421
49,e-,3.24297,3.77374,-341.972,0.782286
49,e-,3.01063,6.16948,-340.072,0.350217
49,e-,3.87713,7.42346,-339.096,0.322303
49,e-,3.99271,8.13338,-338.117,0.308813
49,e+,-9.53316,-0.770862,-348.019,0.287923
49,e+,-9.53955,-0.766988,-347.347,0.100954
49,e-,6.20912,-9.92705,-356.731,0.248479
49,e-,-9.53316,-0.770862,-348.019,1.59471
49,e-,-12.1073,-0.890442,-338.891,0.600961
49,e-,-12.1073,-0.890442,-338.891,0.436281
49,e-,-13.2534,0.0389801,-337.089,0.21339
49,e-,-13.9276,0.758401,-336.464,0.33217
49,e-,-15.0693,0.67206,-336.568,0.327154
49,e-,2.27934,-24.9076,-355.361,0.0742735
49,e-,16.8072,1.02896,-362.943,0.129888
