eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
2,Cherenkov,e-,3999.93,0.0147847,0.00708576,-950,Transportation,World
2,BremsTarget,e-,3999.86,0.0299549,0.0222944,-754.375,Transportation,World
2,Collimator,e-,43.9989,-11.7542,-18.0754,-575,Transportation,World
2,Phantom,gamma,0.877115,3.88739,-0.811345,-365,Transportation,World
2,Collimator,gamma,1.72725,-19.9245,-31.0681,-575,Transportation,World
2,Collimator,gamma,15.9456,-7.85285,-13.8555,-575,Transportation,World
2,Phantom,gamma,30.0584,3.33192,-14.8603,-365,Transportation,World
2,Scint1,gamma,30.0584,4.70107,-21.1707,-202.5,Transportation,World
2,DWC1,gamma,30.0584,5.98596,-27.0928,-50,Transportation,World
2,DWC2,gamma,30.0584,8.09234,-36.8012,200,Transportation,World
2,Collimator,e+,44.63,-0.544135,-28.2265,-575,Transportation,World
2,Collimator,gamma,3.53973,-0.0422959,-28.9662,-575,Transportation,World
2,Collimator,e-,52.1812,-29.0174,3.48974,-575,Transportation,World
2,Collimator,gamma,0.201795,-6.17815,-15.6648,-575,Transportation,World
2,Collimator,gamma,0.687967,-2.30445,-20.5914,-575,Transportation,World
2,Collimator,gamma,334.863,6.58107,-9.87034,-575,Transportation,World
2,Collimator,gamma,0.510999,-9.51732,-3.06929,-540.365,Transportation,World
2,Collimator,gamma,0.242106,-9.99998,-0.0195412,-553.139,Transportation,World
2,Collimator,gamma,1.73497,5.43049,8.39701,-543.627,Transportation,World
2,Collimator,gamma,0.693312,-9.63988,-2.65947,-559.364,Transportation,World
2,Collimator,gamma,0.510999,8.64083,5.03349,-552.342,Transportation,World
2,Collimator,gamma,0.316166,-4.78655,8.78003,-549.568,Transportation,World
2,Collimator,gamma,2.44028,-2.09193,-9.77874,-559.532,Transportation,World
2,Phantom,gamma,2.36794,-0.356329,-30.6863,-365,Transportation,World
2,Scint1,gamma,2.36794,-6.05435,-46.8818,-202.5,Transportation,World
2,DWC1,gamma,2.36794,-11.4017,-62.0807,-50,Transportation,World
2,DWC2,gamma,2.36794,-20.1679,-86.9969,200,Transportation,World
2,Collimator,gamma,0.510999,4.64942,8.85341,-550.873,Transportation,World
2,Collimator,gamma,0.316796,3.68651,9.29568,-545.389,Transportation,World
2,Collimator,gamma,1.03182,-8.8368,-4.68092,-551.809,Transportation,World
2,Phantom,gamma,0.647875,46.9655,25.0142,-365,Transportation,World
2,Phantom,gamma,13.7574,4.75023,-28.676,-365,Transportation,World
2,Scint1,gamma,13.7574,2.45859,-43.8777,-202.5,Transportation,World
2,DWC1,gamma,13.7574,0.307973,-58.1439,-50,Transportation,World
2,DWC2,gamma,13.7574,-3.21763,-81.5311,200,Transportation,World
2,Phantom,gamma,4.6204,-16.0662,5.8373,-365,Transportation,World
2,Scint1,gamma,4.6204,-37.5766,21.5944,-202.5,Transportation,World
2,DWC1,gamma,4.6204,-57.7633,36.3818,-50,Transportation,World
2,DWC2,gamma,4.6204,-90.8563,60.6234,200,Transportation,World
2,Collimator,gamma,0.243101,-0.46975,9.98896,-569.556,Transportation,World
2,BremsTarget,gamma,1.84192,-10.2869,-49.7558,-745.625,Transportation,World
2,Collimator,gamma,0.501592,7.23917,6.89887,-562.397,Transportation,World
2,Collimator,gamma,0.510999,-8.15683,-5.78498,-533.367,Transportation,World
2,Collimator,gamma,4.00834,9.98292,0.584243,-529.958,Transportation,World
2,Collimator,gamma,4.14078,9.11372,4.11584,-527.862,Transportation,World
2,Collimator,gamma,0.510999,-7.27706,-6.85889,-544.48,Transportation,World
2,Phantom,gamma,9.71799,9.75122,-8.73786,-365,Transportation,World
2,Scint1,gamma,9.71799,13.852,-12.4483,-202.5,Transportation,World
2,DWC1,gamma,9.71799,17.7005,-15.9304,-50,Transportation,World
2,DWC2,gamma,9.71799,24.0094,-21.6388,200,Transportation,World
