eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
0,Cherenkov,e-,3999.97,-0.00108303,0.0136172,-950
0,BremsTarget,e-,3999.9,-0.00897998,0.000505266,-754.375
0,Phantom,e-,219.356,0.36294,-10.0901,-365
0,Scint1,e-,191.85,0.595826,-12.9511,-202.5
0,DWC1,e-,190.954,0.15725,-14.9515,-50
0,DWC2,e-,190.84,-0.791012,-18.4315,200
0,Scint2,e-,190.765,-1.6984,-25.0358,597.5
0,Scint1,gamma,22.5215,-0.358605,-13.7296,-202.5
0,DWC1,gamma,22.5215,-1.06153,-17.0851,-50
0,DWC2,gamma,22.5215,-2.21386,-22.5859,200
0,Scint2,gamma,22.5215,-4.04608,-31.3321,597.5
0,Phantom,gamma,80.7126,5.79852,-11.5796,-365
0,Scint1,gamma,80.7126,8.25685,-16.5063,-202.5
0,DWC1,gamma,80.7126,10.5639,-21.1298,-50
0,DWC2,gamma,80.7126,14.3459,-28.7094,200
0,Scint2,gamma,80.7126,20.3594,-40.7609,597.5
0,Collimator,gamma,2.62452,37.6768,-17.2591,-575
0,Phantom,gamma,1.24798,6.42966,-15.6052,-365
0,Scint1,gamma,1.24798,9.15732,-22.249,-202.5
0,DWC1,gamma,1.24798,11.7171,-28.484,-50
0,DWC2,gamma,1.24798,15.9135,-38.7053,200
0,DWC2,gamma,0.295138,-58.1612,-72.0156,400
0,Collimator,gamma,32.5926,4.82538,-8.75875,-549.148
0,Collimator,e+,4.24695,3.07303,9.51612,-533.085
0,Collimator,gamma,0.510999,2.33146,-9.72442,-527.012
0,Phantom,gamma,3.20536,-5.56133,-35.5121,-365
0,DWC1,gamma,3.20536,-24.4581,-83.5523,-50
0,Collimator,gamma,4.10594,4.49255,-8.93404,-548.025
0,Collimator,gamma,0.510999,-7.30589,6.82817,-532.945
0,Collimator,gamma,0.298604,-11.5894,-50.0194,-575
0,Phantom,gamma,65.2739,5.37906,-1.26443,-365
0,Scint1,gamma,65.2739,7.66139,-1.80858,-202.5
0,DWC1,gamma,65.2739,9.80328,-2.31924,-50
0,DWC2,gamma,65.2739,13.3146,-3.1564,200
0,Scint2,gamma,65.2739,18.8975,-4.48748,597.5
0,Phantom,gamma,46.4965,4.8836,-5.45746,-365
0,Scint1,gamma,46.4965,6.95552,-7.78257,-202.5
0,DWC1,gamma,46.4965,8.89992,-9.9646,-50
0,DWC2,gamma,46.4965,12.0875,-13.5417,200
0,Scint2,gamma,46.4965,17.1557,-19.2293,597.5
0,Phantom,gamma,3.2553,3.10422,-6.97625,-365
0,Scint1,gamma,3.2553,4.42151,-9.94541,-202.5
0,DWC1,gamma,3.2553,5.65774,-12.7319,-50
0,DWC2,gamma,3.2553,7.68434,-17.2998,200
0,Scint2,gamma,3.2553,10.9066,-24.5629,597.5
0,Phantom,gamma,695.611,1.29404,2.61252,-365
0,Scint1,gamma,695.611,1.84328,3.70963,-202.5
0,DWC1,gamma,695.611,2.35872,4.73923,-50
0,DWC2,gamma,695.611,3.2037,6.42709,200
0,Scint2,gamma,695.611,4.54722,9.11079,597.5
0,Phantom,gamma,399.288,0.0268671,2.20501,-365
0,Scint1,gamma,399.288,0.0389027,3.12927,-202.5
0,DWC1,gamma,399.288,0.0501977,3.99666,-50
0,DWC2,gamma,399.288,0.068714,5.4186,200
0,Scint2,gamma,399.288,0.098155,7.6795,597.5
0,Phantom,gamma,8.67005,0.411261,2.10277,-365
0,Scint1,gamma,8.67005,0.586183,2.98375,-202.5
0,DWC1,gamma,8.67005,0.75034,3.81051,-50
0,DWC2,gamma,8.67005,1.01945,5.16586,200
0,Scint2,gamma,8.67005,1.44733,7.32085,597.5
0,Phantom,gamma,37.0305,-6.49784,-11.2277,-365
0,Scint1,gamma,37.0305,-9.25804,-16.0191,-202.5
