eventID,volume,particle,energy_MeV,theta_deg,phi_deg
0,Scint1,gamma,22.5215,1.28784,-101.832
0,DWC1,gamma,22.5215,1.28784,-101.832
0,DWC2,gamma,22.5215,1.28784,-101.832
0,Scint2,gamma,22.5215,1.28784,-101.832
0,Phantom,gamma,80.7126,1.94061,-63.4818
0,Scint1,gamma,80.7126,1.94061,-63.4818
0,DWC1,gamma,80.7126,1.94061,-63.4818
0,DWC2,gamma,80.7126,1.94061,-63.4818
0,Scint2,gamma,80.7126,1.94061,-63.4818
0,Collimator,gamma,2.62452,13.6331,-24.5819
0,Phantom,gamma,1.24798,2.53064,-67.6791
0,Scint1,gamma,1.24798,2.53064,-67.6791
0,DWC1,gamma,1.24798,2.53064,-67.6791
0,DWC2,gamma,1.24798,2.53064,-67.6791
0,DWC2,gamma,0.295138,108.57,-162.866
0,Collimator,gamma,32.5926,2.89596,-61.2473
0,Collimator,gamma,0.510999,72.8403,-89.5529
0,Phantom,gamma,3.20536,9.30707,-111.472
0,DWC1,gamma,3.20536,9.30707,-111.472
0,Collimator,gamma,4.10594,2.87977,-63.409
0,Collimator,gamma,0.510999,80.6646,126.439
0,Collimator,gamma,0.298604,16.6735,-103.076
0,Phantom,gamma,65.2739,0.827227,-13.41
0,Scint1,gamma,65.2739,0.827227,-13.41
0,DWC1,gamma,65.2739,0.827227,-13.41
0,DWC2,gamma,65.2739,0.827227,-13.41
0,Scint2,gamma,65.2739,0.827227,-13.41
0,Phantom,gamma,46.4965,1.09794,-48.2957
0,Scint1,gamma,46.4965,1.09794,-48.2957
0,DWC1,gamma,46.4965,1.09794,-48.2957
0,DWC2,gamma,46.4965,1.09794,-48.2957
0,Scint2,gamma,46.4965,1.09794,-48.2957
0,Phantom,gamma,3.2553,1.14515,-66.0752
0,Scint1,gamma,3.2553,1.14515,-66.0752
0,DWC1,gamma,3.2553,1.14515,-66.0752
0,DWC2,gamma,3.2553,1.14515,-66.0752
0,Scint2,gamma,3.2553,1.14515,-66.0752
0,Phantom,gamma,695.611,0.432588,63.4064
0,Scint1,gamma,695.611,0.432588,63.4064
0,DWC1,gamma,695.611,0.432588,63.4064
0,DWC2,gamma,695.611,0.432588,63.4064
0,Scint2,gamma,695.611,0.432588,63.4064
0,Phantom,gamma,399.288,0.32591,89.2539
0,Scint1,gamma,399.288,0.32591,89.2539
0,DWC1,gamma,399.288,0.32591,89.2539
0,DWC2,gamma,399.288,0.32591,89.2539
0,Scint2,gamma,399.288,0.32591,89.2539
0,Phantom,gamma,8.67005,0.316683,78.7697
0,Scint1,gamma,8.67005,0.316683,78.7697
0,DWC1,gamma,8.67005,0.316683,78.7697
0,DWC2,gamma,8.67005,0.316683,78.7697
0,Scint2,gamma,8.67005,0.316683,78.7697
0,Phantom,gamma,37.0305,1.94892,-119.945
0,Scint1,gamma,37.0305,1.94892,-119.945
0,DWC1,gamma,37.0305,1.94892,-119.945
0,DWC2,gamma,37.0305,1.94892,-119.945
0,Scint2,gamma,37.0305,1.94892,-119.945
0,Phantom,gamma,4.65469,2.5441,-129.489
0,Scint1,gamma,4.65469,2.5441,-129.489
0,DWC1,gamma,4.65469,2.5441,-129.489
0,DWC2,gamma,4.65469,2.5441,-129.489
0,Scint2,gamma,4.65469,2.5441,-129.489
0,Cherenkov,gamma,1.76089,162.634,95.6239
0,Phantom,gamma,0.935466,0.208409,54.2065
0,Scint1,gamma,0.935466,0.208409,54.2065
0,DWC1,gamma,0.935466,0.208409,54.2065
0,DWC2,gamma,0.935466,0.208409,54.2065
0,Scint2,gamma,0.935466,0.208409,54.2065
0,Phantom,gamma,859.442,0.320614,0.0371517
0,Scint1,gamma,859.442,0.320614,0.0371517
0,DWC1,gamma,859.442,0.320614,0.0371517
0,DWC2,gamma,859.442,0.320614,0.0371517
0,Scint2,gamma,859.442,0.320614,0.0371517
0,Collimator,gamma,9.47353,10.7155,79.0197
0,Collimator,gamma,0.270276,19.8048,128.03
0,Phantom,gamma,845.083,0.29965,76.2334
0,Scint1,gamma,845.083,0.29965,76.2334
0,DWC1,gamma,845.083,0.29965,76.2334
0,DWC2,gamma,845.083,0.29965,76.2334
0,Scint2,gamma,845.083,0.29965,76.2334
0,Collimator,gamma,8.39001,7.46674,-6.8114
0,DWC1,gamma,8.39001,7.46674,-6.8114
0,Collimator,gamma,0.463874,10.6577,-10.8977
0,Phantom,gamma,106.416,0.287956,86.3966
0,Scint1,gamma,106.416,0.287956,86.3966
0,DWC1,gamma,106.416,0.287956,86.3966
0,DWC2,gamma,106.416,0.287956,86.3966
0,Scint2,gamma,106.416,0.287956,86.3966
0,Collimator,gamma,1.98291,17.1017,8.32536
0,Collimator,gamma,0.309468,18.5967,0.655964
0,Collimator,gamma,4.2592,20.0966,118.39
