eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
25,Collimator,e-,47.3271,-11.9377,-3.63097,-575,Transportation,World
25,Collimator,gamma,0.419361,7.5748,-6.52858,-543.159,Transportation,World
25,Collimator,gamma,10.2808,-4.22505,-10.286,-575,Transportation,World
25,Collimator,gamma,0.601093,27.5549,-23.7595,-575,Transportation,World
25,Collimator,gamma,7.12059,24.1742,-21.5177,-575,Transportation,World
25,Collimator,gamma,11.4358,29.4438,-13.3722,-575,Transportation,World
25,Collimator,gamma,1.55345,24.2098,-9.27006,-575,Transportation,World
25,Collimator,gamma,0.516182,-30.9309,-40.1159,-575,Transportation,World
25,Collimator,gamma,1.10488,15.2106,-13.5313,-575,Transportation,World
25,Collimator,gamma,0.499327,-38.7642,-5.78842,-575,Transportation,World
25,Collimator,gamma,30.1373,15.2537,-3.35416,-575,Transportation,World
25,Phantom,gamma,1.38276,-2.70951,-9.61695,-365,Transportation,World
25,Scint1,gamma,1.38276,-3.74248,-13.6109,-202.5,Transportation,World
25,DWC1,gamma,1.38276,-4.71189,-17.359,-50,Transportation,World
25,DWC2,gamma,1.38276,-6.30109,-23.5035,200,Transportation,World
25,Scint2,gamma,1.38276,-8.82791,-33.2733,597.5,Transportation,World
25,Collimator,gamma,1.2449,42.0934,35.0957,-575,Transportation,World
26,Cherenkov,e-,499.937,0.0323139,-0.113026,-950,Transportation,World
26,BremsTarget,e-,499.89,0.0650059,-0.268653,-754.375,Transportation,World
26,Collimator,e-,20.9572,-17.2662,-39.5228,-575,Transportation,World
26,Collimator,gamma,15.2619,-29.7054,18.3687,-575,Transportation,World
26,Collimator,gamma,0.474634,-55.6331,-1.79624,-575,Transportation,World
26,Collimator,gamma,3.7701,-35.262,17.601,-575,Transportation,World
26,Collimator,gamma,5.62589,-13.715,46.3418,-575,Transportation,World
26,Collimator,gamma,0.536631,-5.55278,49.1549,-575,Transportation,World
26,Collimator,gamma,0.774754,-7.59643,55.3067,-575,Transportation,World
26,Collimator,gamma,0.596221,-5.78988,22.9333,-575,Transportation,World
26,Collimator,gamma,2.39368,-9.24612,25.0004,-575,Transportation,World
26,DWC1,gamma,2.39368,-36.9183,99.6118,-50,Transportation,World
26,Collimator,gamma,35.1118,-7.38686,20.3295,-575,Transportation,World
26,Collimator,gamma,0.743598,12.1828,-8.92292,-575,Transportation,World
26,Collimator,gamma,3.99797,9.87168,-1.59687,-573.738,Transportation,World
26,Phantom,gamma,0.648438,12.0024,0.630,
9
34,Collimator,gamma,0.342035,-4.8202,8.7616,-544.649,Transportation,World
34,Collimator,gamma,19.5797,9.97686,0.679962,-526.695,Transportation,World
34,Collimator,gamma,3.18199,2.4513,9.6949,-526.059,Transportation,World
35,Cherenkov,e-,499.952,0.128228,0.126704,-950,Transportation,World
35,BremsTarget,e-,499.888,0.294517,0.265195,-754.375,Transportation,World
35,Phantom,e+,225.125,-2.56806,-2.57172,-365,Transportation,World
35,Scint1,e+,217.8,-4.10827,0.44156,-202.5,Transportation,World
35,DWC1,e+,216.5,-6.14297,4.27578,-50,Transportation,World
35,DWC2,e+,216.425,-9.45739,10.6876,200,Transportation,World
35,Scint2,e+,216.319,-14.3428,21.5408,597.5,Transportation,World
35,DWC1,gamma,0.300805,-5.39694,4.03031,-50,Transportation,World
35,DWC2,gamma,0.300805,-7.50487,9.91367,200,Transportation,World
35,Scint2,gamma,0.300805,-10.8565,19.2682,597.5,Transportation,World
35,Scint1,gamma,0.173006,-3.70644,-3.60055,-202.5,Transportation,World
35,DWC1,gamma,0.173006,-4.77103,-4.56157,-50,Transportation,World
35,DWC2,gamma,0.173006,-6.51627,-6.137,200,Transportation,World
35,Scint2,gamma,0.173006,-9.2912,-8.64195,597.5,Transportation,World
35,Phantom,gamma,56.325,-1.49225,-0.806791,-365,Transportation,World
35,Scint1,gamma,56.325,-2.32123,-1.29072,-202.5,Transportation,World
35,DWC1,gamma,56.325,-3.0992,-1.74487,-50,Transportation,World
35,DWC2,gamma,56.325,-4.37456,-2.48938,200,Transportation,World
35,Scint2,gamma,56.325,-6.40238,-3.67314,597.5,Transportation,World
35,Collimator,e-,106.208,8.76187,4.81972,-566.976,Transportation,World
35,Phantom,e-,63.2005,-32.473,25.3901,-365,Transportation,World
35,DWC1,e-,57.7072,-82.0002,31.2556,-50,Transportation,World
35,DWC1,e-,0.0182021,-100,34.3228,111.998,Transportation,World
35,DWC1,gamma,0.0835027,-90.6729,39.9659,-50,Transportation,World
35,Phantom,gamma,0.275682,-29.534,6.71475,-365,Transportation,World
35,Collimator,gamma,0.510999,-5.28903,8.48682,-531.643,Transportation,World
35,Collimator,gamma,0.331691,7.7624,-6.30437,-539.758,Transportation,World
35,Collimator,e+,11.4388,-9.37549,3.47854,-551.468,Transportation,World
35,Collimator,gamma,0.17527,-9.03789,4.27978,-551.127,Transportation,World
35,Collimator,e-,7.15578,9.93856,1.10683,-552.363,Transportation,World
35,Collimator,e-,6.33209,9.95801,0.915475,-552.171,Transportation,World
35,Phantom,gamma,1.08603,4.58275,-46.9866,-365,Transportation,World
35,Collimator,gamma,1.23583,8.60579,10.611,-575,Transportation,World
35,Phantom,gamma,72.8938,5.57461,1.05305,-365,Transportation,World
35,Scint1,gamma,72.8938,7.75646,1.36412,-202.5,Transportation,World
