eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
34,Phantom,gamma,85.4997,-15.8712,-3.57463,-365
34,Scint1,gamma,85.4997,-22.6333,-5.12332,-202.5
34,DWC1,gamma,85.4997,-28.9793,-6.57671,-50
34,DWC2,gamma,85.4997,-39.3825,-8.95931,200
34,Phantom,gamma,13.3529,-9.05641,-1.01969,-365
34,Scint1,gamma,13.3529,-12.9285,-1.4851,-202.5
34,DWC1,gamma,13.3529,-16.5623,-1.92187,-50
34,DWC2,gamma,13.3529,-22.5193,-2.63789,200
34,Scint2,gamma,13.3529,-31.9911,-3.77636,597.5
34,Collimator,gamma,3.69568,-53.3976,-8.75421,-575
34,Collimator,gamma,0.984474,-45.7492,-7.55056,-575
34,Collimator,gamma,37.1787,5.03551,-8.63966,-570.808
34,Collimator,gamma,0.342035,-4.8202,8.7616,-544.649
34,Collimator,gamma,19.5797,9.97686,0.679962,-526.695
34,Collimator,gamma,3.18199,2.4513,9.6949,-526.059
35,Cherenkov,e-,499.952,0.128228,0.126704,-950
35,BremsTarget,e-,499.888,0.294517,0.265195,-754.375
35,Phantom,e+,225.125,-2.56806,-2.57172,-365
35,Scint1,e+,217.8,-4.10827,0.44156,-202.5
35,DWC1,e+,216.5,-6.14297,4.27578,-50
35,DWC2,e+,216.425,-9.45739,10.6876,200
35,Scint2,e+,216.319,-14.3428,21.5408,597.5
35,DWC1,gamma,0.300805,-5.39694,4.03031,-50
35,DWC2,gamma,0.300805,-7.50487,9.91367,200
35,Scint2,gamma,0.300805,-10.8565,19.2682,597.5
35,Scint1,gamma,0.173006,-3.70644,-3.60055,-202.5
35,DWC1,gamma,0.173006,-4.77103,-4.56157,-50
35,DWC2,gamma,0.173006,-6.51627,-6.137,200
35,Scint2,gamma,0.173006,-9.2912,-8.64195,597.5
35,Phantom,gamma,56.325,-1.49225,-0.806791,-365
35,Scint1,gamma,56.325,-2.32123,-1.29072,-202.5
35,DWC1,gamma,56.325,-3.0992,-1.74487,-50
35,DWC2,gamma,56.325,-4.37456,-2.48938,200
35,Scint2,gamma,56.325,-6.40238,-3.67314,597.5
35,Collimator,e-,106.208,8.76187,4.81972,-566.976
35,Phantom,e-,63.2005,-32.473,25.3901,-365
35,DWC1,e-,57.7072,-82.0002,31.2556,-50
35,DWC1,e-,0.0182021,-100,34.3228,111.998
35,DWC1,gamma,0.0835027,-90.6729,39.9659,-50
35,Phantom,gamma,0.275682,-29.534,6.71475,-365
35,Collimator,gamma,0.510999,-5.28903,8.48682,-531.643
35,Collimator,gamma,0.331691,7.7624,-6.30437,-539.758
35,Collimator,e+,11.4388,-9.37549,3.47854,-551.468
35,Collimator,gamma,0.17527,-9.03789,4.27978,-551.127
35,Collimator,e-,7.15578,9.93856,1.10683,-552.363
35,Collimator,e-,6.33209,9.95801,0.915475,-552.171
35,Phantom,gamma,1.08603,4.58275,-46.9866,-365
35,Collimator,gamma,1.23583,8.60579,10.611,-575
35,Phantom,gamma,72.8938,5.57461,1.05305,-365
35,Scint1,gamma,72.8938,7.75646,1.36412,-202.5
35,DWC1,gamma,72.8938,9.80405,1.65604,-50
35,DWC2,gamma,72.8938,13.1607,2.1346,200
35,Scint2,gamma,72.8938,18.4979,2.89552,597.5
