eventID,volume,particle,edep_MeV
26,BremsTarget,e-,0.0662072
26,BremsTarget,e-,0.150472
26,BremsTarget,e-,1.46201
26,BremsTarget,e-,0.604754
26,BremsTarget,e-,2.88514
26,BremsTarget,e-,0.519075
26,BremsTarget,e-,0.478345
26,BremsTarget,e-,0.160899
26,BremsTarget,e-,0.921181
26,BremsTarget,e-,0.237561
26,BremsTarget,e-,0.805973
26,BremsTarget,e-,1.68615
26,BremsTarget,e-,0.708189
26,BremsTarget,e-,0.0515848
26,BremsTarget,e-,0.424074
26,BremsTarget,e-,0.044015
26,BremsTarget,e-,1.89417
26,BremsTarget,e-,0.25211
26,BremsTarget,e-,0.389304
26,BremsTarget,e-,0.733154
26,BremsTarget,e-,0.768268
26,BremsTarget,e-,0.105206
26,BremsTarget,e-,0.23145
26,BremsTarget,e-,3.19636
26,BremsTarget,e-,0.683216
26,Phantom,e-,3.609
26,Phantom,e-,0.497421
26,Phantom,e-,0.999059
26,Scint1,e-,1.09173
26,Phantom,e-,1.27175
26,Phantom,e-,0.322884
26,Scint1,e-,0.78656
26,Scint1,e-,0.0819763
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.509625
26,BremsTarget,e-,0.358524
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.103173
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.190377
26,BremsTarget,e+,0.147602
26,BremsTarget,e+,0.405573
26,BremsTarget,e+,0.538348
26,BremsTarget,e+,0.374112
26,BremsTarget,e+,3.23759
26,BremsTarget,e+,2.12615
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.44147
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.126825
26,BremsTarget,e-,0.414488
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.390705
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.084015
26,BremsTarget,e-,1.9047
26,BremsTarget,e-,2.89835
26,BremsTarget,e-,0.387742
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.841184
26,BremsTarget,e-,0.0306143
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.352453
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.289115
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.432252
26,BremsTarget,e-,0.171765
26,BremsTarget,gamma,0.010209
26,BremsTarget,e-,0.127516
26,BremsTarget,e-,0.203447
26,BremsTarget,e-,0.562908
26,BremsTarget,e-,0.084181
26,BremsTarget,e-,4.83512
26,BremsTarget,e-,2.44482
26,BremsTarget,e-,0.771216
26,BremsTarget,e-,0.541919
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.284171
26,BremsTarget,e-,0.123928
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.336731
26,Phantom,e-,2.55252
26,Phantom,e-,2.35586
26,Phantom,e-,0.322102
26,Scint1,e-,0.984018
26,BremsTarget,e+,0.487207
26,BremsTarget,e+,1.07981
26,BremsTarget,e+,0.668277
26,BremsTarget,e+,0.273205
26,BremsTarget,e+,2.39293
26,BremsTarget,e+,0.104257
26,BremsTarget,e+,1.46173
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.44147
26,BremsTarget,gamma,0.012103
26,BremsTarget,e-,0.203997
26,BremsTarget,e-,0.19967
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.138526
26,BremsTarget,e-,2.65782
26,BremsTarget,e-,0.9259
26,BremsTarget,e-,0.671731
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.0485075
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.356095
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.325899
26,BremsTarget,e-,0.0377057
26,BremsTarget,e-,0.676948
26,BremsTarget,e-,0.0257357
26,BremsTarget,e-,0.520955
26,BremsTarget,e-,0.678785
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.198498
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.122508
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.280426
26,BremsTarget,e-,0.0179727
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.133478
26,BremsTarget,gamma,0.010209
26,BremsTarget,e-,1.11452
26,BremsTarget,e+,0.165374
26,BremsTarget,e+,1.01594
26,BremsTarget,e+,0.976857
26,BremsTarget,e+,0.646743
26,BremsTarget,e+,1.29278
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.42104
26,BremsTarget,e-,0.0204302
26,BremsTarget,e-,2.85456
26,BremsTarget,e-,0.356377
26,BremsTarget,gamma,0.069529
26,BremsTarget,e-,0.0758489
26,BremsTarget,e-,0.657045
27,BremsTarget,e-,0.939793
27,BremsTarget,e-,0.0107489
27,BremsTarget,e-,0.0140349
27,BremsTarget,e-,1.26311
27,BremsTarget,e-,0.716657
27,BremsTarget,e-,2.2153
27,BremsTarget,e-,0.12054
27,BremsTarget,e-,0.0916223
27,BremsTarget,e-,0.225059
27,BremsTarget,e-,0.243867
27,BremsTarget,e-,4.57955
27,BremsTarget,e-,0.391725
27,BremsTarget,e-,0.215802
27,BremsTarget,e-,0.0572165
27,BremsTarget,e-,0.768293
27,BremsTarget,e-,0.370718
27,BremsTarget,e-,1.30715
27,BremsTarget,e-,4.34228
27,BremsTarget,e-,0.123059
27,BremsTarget,e-,0.405563
27,BremsTarget,e-,0.684775
27,BremsTarget,e-,0.409764
27,BremsTarget,e-,0.165413
27,BremsTarget,e-,2.39637
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.297786
27,BremsTarget,e-,0.328523
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.0988263
27,BremsTarget,e-,0.310593
27,BremsTarget,e-,0.705632
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.10995
27,BremsTarget,e+,0.0259214
27,BremsTarget,e+,1.69683
27,BremsTarget,e+,5.62944
27,BremsTarget,e+,0.415908
27,BremsTarget,e+,2.10407
27,BremsTarget,e+,1.10809
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.44147
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.391921
27,BremsTarget,e-,0.0495488
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.145024
27,BremsTarget,e-,0.227704
27,BremsTarget,e-,0.0607478
27,BremsTarget,e-,0.0980164
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.0964869
27,BremsTarget,e-,0.105924
27,BremsTarget,e+,1.44662
27,BremsTarget,e+,0.218459
27,BremsTarget,e+,0.378854
27,BremsTarget,e-,0.222226
27,BremsTarget,e-,1.15078
27,BremsTarget,e-,0.255948
27,BremsTarget,e-,0.525236
27,BremsTarget,e-,0.47588
27,BremsTarget,e-,0.442394
27,BremsTarget,e-,0.678363
27,BremsTarget,e-,0.159041
27,BremsTarget,e-,0.328236
27,BremsTarget,e-,0.383024
27,BremsTarget,e-,0.0320301
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.302069
27,BremsTarget,e+,0.38857
27,BremsTarget,e+,0.155825
27,BremsTarget,e+,0.248336
27,BremsTarget,e+,0.658655
27,BremsTarget,e+,0.975879
27,BremsTarget,e+,0.326597
27,BremsTarget,e+,0.385549
27,BremsTarget,e+,0.0292503
27,BremsTarget,e+,0.451054
27,BremsTarget,e+,0.00893729
27,BremsTarget,e+,0.0278237
27,BremsTarget,e+,1.6294
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.38288
27,BremsTarget,e-,0.00723431
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.233616
27,BremsTarget,e-,1.85403
27,BremsTarget,e-,1.06649
27,BremsTarget,e-,1.42595
27,BremsTarget,e-,0.456607
27,BremsTarget,e-,0.272049
27,BremsTarget,e-,0.858544
27,BremsTarget,e-,0.647563
27,BremsTarget,e-,0.309041
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.332788
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.0531
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.713692
27,BremsTarget,e-,0.79014
27,BremsTarget,e+,0.628861
27,BremsTarget,e+,0.811098
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.243763
27,BremsTarget,e-,0.197707
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.617507
27,BremsTarget,e-,0.826691
27,BremsTarget,e-,0.304284
27,BremsTarget,e-,0.115171
27,BremsTarget,e-,0.123348
27,BremsTarget,e-,0.279837
27,BremsTarget,e-,0.72144
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.236051
27,BremsTarget,e-,1.15699
27,BremsTarget,e-,1.62767
27,BremsTarget,e-,0.101719
27,BremsTarget,e-,0.874042
27,BremsTarget,e-,3.64385
27,BremsTarget,e-,4.56119
27,BremsTarget,e-,1.29832
27,BremsTarget,e-,1.16102
27,BremsTarget,e-,0.791136
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.1291
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.0724856
27,BremsTarget,e-,0.804247
27,BremsTarget,e-,0.0391346
27,BremsTarget,e-,1.17116
27,BremsTarget,e-,1.59897
27,BremsTarget,e-,1.22643
27,BremsTarget,e-,0.357269
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.128035
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.0881247
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.253476
27,BremsTarget,e-,0.103716
27,BremsTarget,gamma,0.012103
27,BremsTarget,e-,0.231973
27,BremsTarget,e-,2.74344
27,BremsTarget,e-,0.260456
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.830239
27,BremsTarget,e-,1.42174
27,BremsTarget,e+,0.609143
27,BremsTarget,gamma,0.002823
27,BremsTarget,e-,0.508176
27,BremsTarget,gamma,0.069529
27,BremsTarget,e-,0.368367
27,BremsTarget,e-,0.0731033
27,BremsTarget,e-,0.222248
27,BremsTarget,e-,1.53469
27,Scint2,e+,0.561729
27,Scint2,e-,0.695406
27,BremsTarget,e-,0.518655
27,BremsTarget,e-,0.0334166
et,e-,0.150668
48,BremsTarget,e-,1.02773
48,BremsTarget,e-,2.263BremsTarget,gamma,0.069529
41,BremsTarget,e-,0.192123
41,BremsTarget,e-,0.447577
41,BremsTarget,gamma,0.069529
41,BremsTarget,e-,0.25083
