eventID,volume,energy_MeV,x_mm,y_mm,z_mm
40,BremsTarget,0.372849,23.4652,20.6296,-745.625
40,Collimator,0.369223,-17.6766,-58.0235,-575
40,Collimator,19.4724,-10.929,-25.2762,-575
40,Collimator,2.68922,-4.4351,-18.0233,-575
40,Phantom,2.68922,-9.73591,-39.5456,-365
40,DWC1,2.68922,-17.6871,-71.829,-50
40,DWC2,2.68922,-23.9976,-97.4507,200
40,Collimator,4.04006,1.16975,-11.7954,-575
40,Collimator,19.6155,-9.19292,-3.93575,-564.053
40,Phantom,297.059,-14.6901,-5.50557,-365
40,Scint1,297.059,-20.856,-7.82496,-202.5
40,DWC1,297.059,-26.6424,-10.0016,-50
40,DWC2,297.059,-36.1283,-13.5699,200
40,Phantom,2.25276,4.45704,0.568723,-365
40,Phantom,1.93198,0.725869,1.73032,-365
40,Scint1,1.93198,1.03402,2.44,-202.5
40,DWC1,1.93198,1.32321,3.10601,-50
40,DWC2,1.93198,1.7973,4.19783,200
40,Scint2,1.93198,2.55109,5.93382,597.5
40,Phantom,154.211,-1.04658,6.62783,-365
40,Scint1,154.211,-1.47828,9.38794,-202.5
40,DWC1,154.211,-1.88342,11.9782,-50
40,DWC2,154.211,-2.54759,16.2245,200
40,Scint2,154.211,-3.60361,22.9761,597.5
40,Scint1,0.0425105,0.764709,13.6821,-202.5
40,DWC1,0.0425105,1.00534,18.0479,-50
40,DWC2,0.0425105,1.39981,25.2051,200
40,Scint2,0.0425105,2.02703,36.5851,597.5
40,Scint1,0.116721,0.832094,13.7412,-202.5
40,DWC1,0.116721,1.14979,18.1762,-50
40,DWC2,0.116721,1.67059,25.4468,200
40,Scint2,0.116721,2.49868,37.0069,597.5
40,Scint1,73.155,0.478345,13.3094,-202.5
40,DWC1,73.155,0.442511,17.3333,-50
40,DWC2,73.155,0.383765,23.9299,200
40,Scint2,73.155,0.29036,34.4185,597.5
40,Phantom,3.25807,2.37957,7.65874,-365
40,Scint1,3.25807,3.39566,10.9074,-202.5
40,DWC1,3.25807,4.34922,13.9561,-50
40,DWC2,3.25807,5.91244,18.9539,200
40,Scint2,3.25807,8.39795,26.9006,597.5
40,Phantom,81.7954,-0.286311,7.88774,-365
40,Scint1,81.7954,-0.40728,11.234,-202.5
40,DWC1,81.7954,-0.520805,14.3742,-50
40,DWC2,81.7954,-0.706911,19.5223,200
40,Scint2,81.7954,-1.00282,27.7076,597.5
40,Phantom,11.7425,1.01199,7.46166,-365
40,Scint1,11.7425,1.44446,10.6262,-202.5
40,DWC1,11.7425,1.85032,13.5961,-50
40,DWC2,11.7425,2.51567,18.4647,200
40,Scint2,11.7425,3.57356,26.2057,597.5
40,Phantom,24.2737,0.482088,7.01002,-365
40,Scint1,24.2737,0.688783,9.98221,-202.5
40,DWC1,24.2737,0.882759,12.7715,-50
40,DWC2,24.2737,1.20075,17.3441,200
40,Scint2,24.2737,1.70636,24.6145,597.5
40,Phantom,197.972,0.555463,4.65698,-365
40,Scint1,197.972,0.791953,6.62888,-202.5
40,DWC1,197.972,1.01389,8.47943,-50
40,DWC2,197.972,1.37772,11.5131,200
40,Scint2,197.972,1.95621,16.3367,597.5
40,Phantom,11.8899,1.49933,1.15978,-365
40,Scint1,11.8899,2.13612,1.64659,-202.5
40,DWC1,11.8899,2.73372,2.10344,-50
40,DWC2,11.8899,3.7134,2.85238,200
40,Scint2,11.8899,5.27109,4.04319,597.5
40,Phantom,0.552576,-18.7841,34.8763,-365
40,Phantom,3.6537,-31.7344,-14.792,-365
40,Scint1,3.6537,-47.5571,-22.2936,-202.5
40,Phantom,144.579,-14.1566,-1.31056,-365
40,Scint1,144.579,-20.1861,-1.87423,-202.5
40,DWC1,144.579,-25.8445,-2.4032,-50
40,DWC2,144.579,-35.1206,-3.27038,200
40,Scint2,144.579,-49.8696,-4.64918,597.5
40,Phantom,42.5901,-6.86906,-4.33801,-365
40,Scint1,42.5901,-9.78852,-6.188,-202.5
40,DWC1,2.33949,59.0482,78.3061,-50
40,Phantom,36.0474,-5.40878,-1.30439,-365
40,Scint1,36.0474,-7.70707,-1.86366,-202.5
40,DWC1,36.0474,-9.86393,-2.38851,-50
40,DWC2,36.0474,-13.3998,-3.24892,200
40,Scint2,36.0474,-19.0217,-4.61697,597.5
40,Phantom,22.2378,-5.35782,0.21847,-365
40,Scint1,22.2378,-7.6344,0.306952,-202.5
40,DWC1,22.2378,-9.77088,0.389988,-50
40,DWC2,22.2378,-13.2733,0.526113,200
40,Scint2,22.2378,-18.8422,0.742552,597.5
40,Phantom,137.476,-0.14416,-2.70032,-365
40,Scint1,137.476,-0.205505,-3.85158,-202.5
40,DWC1,137.476,-0.263075,-4.93199,-50
40,DWC2,137.476,-0.357452,-6.70316,200
40,Scint2,137.476,-0.50751,-9.51932,597.5
40,Phantom,1.05589,0.981301,-0.443067,-365
40,Scint1,1.05589,1.3976,-0.636144,-202.5
40,DWC1,1.05589,1.78829,-0.817338,-50
40,DWC2,1.05589,2.42875,-1.11438,200
40,Scint2,1.05589,3.44709,-1.58667,597.5
41,Phantom,45.449,11.3135,6.21099,-365
41,Scint1,45.449,16.08,8.85587,-202.5
41,DWC1,45.449,20.5531,11.338,-50
41,DWC2,45.449,27.8861,15.4071,200
41,Scint2,45.449,39.5457,21.8769,597.5
41,Collimator,10.0057,40.4089,19.5001,-575
41,Collimator,0.281894,53.6007,-21.1779,-575
41,Collimator,1.67363,51.7022,2.7136,-575
41,Collimator,14.0146,37.9011,-3.97891,-575
41,Collimator,6.71201,9.80449,1.96774,-573.034
41,Phantom,6.71201,21.2859,4.35283,-365
41,Scint1,6.71201,30.2544,6.21587,-202.5
41,DWC1,6.71201,38.6709,7.96427,-50
41,DWC2,6.71201,52.4685,10.8305,200
41,Collimator,0.351383,-3.06092,-9.52002,-551.378
41,Collimator,0.579431,-9.40621,3.39458,-529.489
41,Collimator,0.138907,9.97849,0.655546,-548.334
41,Collimator,0.510999,-8.78005,-4.78651,-554.542
41,Collimator,1.89716,9.43111,-3.32478,-544.026
41,Phantom,1.03384,43.9927,-46.225,-365
41,Collimator,0.480168,9.96678,-0.814468,-545.454
41,Collimator,1.88493,-3.0086,9.53668,-557.351
41,Collimator,0.379698,6.83774,7.29694,-548.805
41,Collimator,0.843013,0.968717,9.95297,-564.685
41,Collimator,36.1173,7.67357,10.2371,-575
41,Collimator,0.55772,-9.64454,2.64251,-545.86
41,Collimator,0.934472,7.89681,-6.13518,-525.718
41,Collimator,0.319589,7.29298,12.4748,-575
41,Phantom,1.46336,7.72751,10.3106,-365
41,Scint1,1.46336,11.0462,14.7246,-202.5
41,DWC1,1.46336,14.1608,18.867,-50
41,DWC2,1.46336,19.2665,25.6578,200
41,Scint2,1.46336,27.3846,36.4551,597.5
41,Phantom,1.0932,12.2293,9.19691,-365
41,Scint1,1.0932,17.4687,13.1363,-202.5
41,DWC1,1.0932,22.3856,16.8333,-50
41,DWC2,1.0932,30.4461,22.894,200
41,Scint2,1.0932,43.2623,32.5304,597.5
41,Phantom,2.13307,-0.682744,3.02053,-365
41,Scint1,2.13307,-0.944883,4.3275,-202.5
41,DWC1,2.13307,-1.19089,5.55405,-50
41,DWC2,2.13307,-1.59418,7.56477,200
41,Scint2,2.13307,-2.23541,10.7618,597.5
41,Collimator,0.721518,25.6065,30.4475,-575
41,Phantom,30.2816,-5.57638,2.97575,-365
41,Scint1,30.2816,-7.90923,4.26832,-202.5
41,DWC1,30.2816,-10.0985,5.48134,-50
41,DWC2,30.2816,-13.6875,7.46991,200
41,Scint2,30.2816,-19.394,10.6317,597.5
41,Phantom,5.15543,-3.98152,1.69951,-365
41,Scint1,5.15543,-5.64028,2.45261,-202.5
41,DWC1,5.15543,-7.19696,3.15936,-50
41,DWC2,5.15543,-9.7489,4.31798,200
41,Scint2,5.15543,-13.8065,6.16018,597.5
41,Phantom,727.576,-7.01425,-2.77039,-365
41,Scint1,727.576,-9.95391,-3.90391,-202.5
41,DWC1,727.576,-12.7127,-4.96767,-50
41,DWC2,727.576,-17.2352,-6.71154,200
41,Scint2,727.576,-24.4261,-9.4843,597.5
41,Collimator,0.131326,50.0733,42.7708,-575
41,Collimator,0.684659,16.6915,-0.0238721,-575
41,Collimator,6.06497,3.81428,-13.7297,-575
41,Collimator,0.626746,-5.7096,8.20978,-559.501
41,Collimator,9.88629,16.1305,-3.06544,-575
41,Collimator,4.4031,-2.41087,9.70504,-544.362
41,Phantom,25.9261,2.19804,-7.12381,-365
41,Scint1,25.9261,3.14328,-10.0957,-202.5
41,DWC1,25.9261,4.03036,-12.8847,-50
41,DWC2,25.9261,5.48459,-17.4569,200
41,Scint2,25.9261,7.79681,-24.7267,597.5
41,Collimator,16.5025,5.40158,49.5547,-575
41,Collimator,2.69355,49.9231,49.256,-575
41,Collimator,27.3028,-25.3649,-6.93927,-575
41,Phantom,1.71327,-46.1013,-45.2661,-365
41,Collimator,11.0731,-1.01674,11.7644,-575
41,Collimator,0.247845,7.70366,-6.37603,-568.755
41,Collimator,1.28456,-24.3636,-13.872,-575
41,Phantom,15.1775,-2.26445,-0.172377,-365
41,Scint1,15.1775,-3.20495,-0.212587,-202.5
41,DWC1,15.1775,-4.08756,-0.250322,-50
41,DWC2,15.1775,-5.53448,-0.312183,200
41,Scint2,15.1775,-7.83507,-0.410543,597.5
41,Phantom,102.737,-1.20986,-0.135368,-365
41,Scint1,102.737,-1.70746,-0.159961,-202.5
41,DWC1,102.737,-2.17445,-0.183039,-50
41,DWC2,102.737,-2.94,-0.220873,200
41,Scint2,102.737,-4.15723,-0.28103,597.5
41,Phantom,2.43605,-1.72033,0.293924,-365
41,Scint1,2.43605,-2.43222,0.449538,-202.5
41,DWC1,2.43605,-3.1003,0.595575,-50
41,DWC2,2.43605,-4.19552,0.834981,200
41,Scint2,2.43605,-5.93692,1.21564,597.5
41,Phantom,275.553,-1.42546,-0.244807,-365
41,Scint1,275.553,-2.0136,-0.315252,-202.5
41,DWC1,275.553,-2.56555,-0.381361,-50
41,DWC2,275.553,-3.47037,-0.489737,200
41,Scint2,275.553,-4.90905,-0.662055,597.5
41,BremsTarget,0.510999,-24.6966,-24.3522,-745.625
1,-1.20955,-5.30438,-50
45,DWC2,10.7051,-1.67928,-7.21348,200
45,Scint2,10.7051,-2.42615,-10.2489,597.5
45,Phantom,7.87013,1.51886,-2.34052,-365
45,Scint1,7.87013,2.11437,-3.34594,3.75271,-202.5
9,DWC1,75.7525,-5.54388,4.79132,-50
9,DWC2,75.7525,-7.54016,6.49396,200
9,Scint2,75.7525,-10.7142,9.20116,597.5
