eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
10,Cherenkov,e-,1999.95,0.0126745,0.0113492,-950
10,BremsTarget,e-,1999.88,0.0657869,-0.0100811,-754.375
10,Collimator,gamma,5.26243,-7.46127,49.8637,-575
10,Collimator,gamma,0.375271,25.5644,-39.9502,-575
10,Phantom,gamma,88.1031,-10.8038,-9.49483,-365
10,Scint1,gamma,88.1031,-15.3859,-13.4948,-202.5
10,DWC1,gamma,88.1031,-19.686,-17.2487,-50
10,DWC2,gamma,88.1031,-26.7355,-23.4025,200
10,Scint2,gamma,88.1031,-37.9441,-33.1871,597.5
10,Phantom,e+,796.353,2.07675,0.880053,-365
10,Scint1,e+,791.309,2.68747,1.05991,-202.5
10,DWC1,e+,790.283,3.14126,1.28421,-50
10,DWC2,e+,790.21,3.83392,1.70242,200
10,Scint2,e+,790.093,5.26093,2.59145,597.5
10,Phantom,e-,776,1.15858,0.0293871,-365
10,Scint1,e-,767.136,2.4296,0.120593,-202.5
10,DWC1,e-,766.074,3.68413,0.22597,-50
10,DWC2,e-,766.008,5.70025,0.458421,200
10,Scint2,e-,765.915,8.84115,0.801462,597.5
10,Scint1,gamma,1.3137,2.35701,0.018479,-202.5
10,DWC1,gamma,1.3137,3.50278,0.00775381,-50
10,DWC2,gamma,1.3137,5.38109,-0.00982851,200
10,Scint2,gamma,1.3137,8.3676,-0.0377844,597.5
10,Scint1,gamma,1.68289,1.71545,0.109496,-202.5
10,DWC1,gamma,1.68289,2.23814,0.184793,-50
10,DWC2,gamma,1.68289,3.09502,0.30823,200
10,Scint2,gamma,1.68289,4.45745,0.504496,597.5
10,Phantom,gamma,0.55785,1.48583,0.523972,-365
10,Phantom,gamma,27.5331,1.93233,-0.388542,-365
10,Scint1,gamma,27.5331,2.71571,-0.546145,-202.5
10,DWC1,gamma,27.5331,3.45089,-0.694049,-50
10,DWC2,gamma,27.5331,4.65609,-0.936515,200
10,Scint2,gamma,27.5331,6.57237,-1.32204,597.5
10,Phantom,gamma,0.868721,2.51096,-1.01665,-365
10,Phantom,gamma,2.68552,2.10007,0.338595,-365
10,Scint1,gamma,2.68552,2.95497,0.485106,-202.5
10,DWC1,gamma,2.68552,3.75727,0.622601,-50
10,DWC2,gamma,2.68552,5.07251,0.848002,200
10,Scint2,gamma,2.68552,7.16375,1.20639,597.5
10,Collimator,gamma,3.81683,10.7838,-6.04957,-575
10,Phantom,gamma,0.893227,0.423169,-0.329793,-365
10,Phantom,gamma,99.8329,0.698123,0.107615,-365
10,Scint1,gamma,99.8329,0.963682,0.156469,-202.5
10,DWC1,gamma,99.8329,1.2129,0.202317,-50
10,DWC2,gamma,99.8329,1.62145,0.277477,200
10,Scint2,gamma,99.8329,2.27105,0.396982,597.5
10,Phantom,gamma,5.19217,0.638014,0.143161,-365
10,Scint1,gamma,5.19217,0.87836,0.206867,-202.5
10,DWC1,gamma,5.19217,1.10392,0.266654,-50
10,DWC2,gamma,5.19217,1.47368,0.364663,200
10,Scint2,gamma,5.19217,2.0616,0.520499,597.5
10,Collimator,e-,66.0453,14.8693,-8.3571,-575
10,BremsTarget,gamma,1.09881,-19.2902,-18.9916,-745.625
10,Collimator,gamma,5.48488,1.11805,9.9373,-566.45
10,Collimator,gamma,0.250709,-7.86991,-6.16965,-566.553
10,Collimator,gamma,2.95183,-9.8391,-1.78665,-561.972
10,Collimator,gamma,2.61162,-7.28292,6.85267,-549.759
10,Collimator,e+,5.48406,-0.136569,9.99907,-563.601
10,Collimator,gamma,4.42422,-9.36166,3.51558,-547.094
10,Collimator,e-,6.97668,-9.99866,-0.163731,-543.504
10,Collimator,e-,0.445144,-8.48613,-5.29015,-538.651
10,Collimator,e-,0.426185,-2.26005,-9.74126,-532.197
10,Collimator,e-,0.325317,4.28165,9.037,-533.361
10,Collimator,e-,0.262422,-9.99616,0.277268,-546.037
10,Collimator,gamma,1.89067,2.84893,-9.93,-575
