eventID,particle,x_mm,y_mm,z_mm,edep_MeV
8,e-,-40.0707,17.5597,-364.117,0.0872203
8,e+,6.81977,-7.7998,-358.192,0.520042
8,e+,7.51239,-8.06371,-355.21,1.07044
8,e+,9.55152,-6.64666,-350.527,0.923077
8,e+,11.108,-5.54304,-347.196,0.0348614
8,e+,11.1494,-5.60097,-346.988,0.108867
8,e-,1.808,-27.878,-352.979,0.0222632
8,e-,10.75,-19.134,-352.295,0.0198415
8,e-,12.5904,-5.29315,-351.597,0.187839
8,e-,11.1494,-5.60097,-346.988,0.487194
8,e-,12.5875,-6.57514,-345.904,0.449636
8,e-,13.1186,-7.67933,-345.587,0.207575
8,e-,7.51239,-8.06371,-355.21,0.314477
8,e-,7.55714,-8.72942,-354.784,0.12341
8,e-,6.81977,-7.7998,-358.192,0.356014
8,e-,6.9062,-7.91637,-356.308,2.5461
8,e-,7.59351,-10.8029,-342.808,0.42246
8,e-,7.73198,-11.3343,-340.32,0.904917
8,e-,7.73198,-11.3343,-340.32,0.604154
8,e-,7.84846,-14.3523,-337.991,0.446269
8,e-,7.98391,-15.7418,-335.362,0.151564
8,e-,3.1216,7.89611,-351.765,0.461246
8,e-,2.55993,8.28684,-351.234,0.00721183
8,e-,3.88651,7.72235,-354.033,0.156416
9,e+,6.83834,-10.616,-365,5.11644
9,e-,7.54159,-7.26512,-360.574,0.02009
9,e-,-22.4024,-1.58211,-359.265,0.079348
9,e-,-22.7117,-1.04997,-357.642,0.530138
9,e-,-22.9109,-0.965077,-354.831,0.348183
9,e-,-21.2049,-2.19118,-354.521,0.480379
9,e-,-21.0777,-3.73237,-354.953,0.30481
9,e-,-20.8095,-3.52367,-355.473,0.0656369
9,e-,-3.83519,-2.75338,-356.369,0.110085
091,-365,0.733826
36,e-,6.24021,-0.228989,-361.193,0.305677
36,e-,6.56768,0.192548,-359.705,1.74267
36,e-,10.3482,0.899093,-349.797,0.725222
36,e-,11.012,1.73709,-345.386,1.29379
36,e-,14.4976,2.8521,-340.286,0.835345
36,e-,15.8221,3.23755,-335.733,0.146547
36,e-,11.012,1.73709,-345.386,0.42807
36,e-,11.5919,0.837233,-344.072,0.360686
36,e-,11.4479,0.0205435,-343.751,0.117423
36,e-,10.3482,0.899093,-349.797,0.425901
36,e-,11.3825,0.771916,-348.988,0.259615
36,gamma,6.56768,0.192548,-359.705,0.000288
36,e-,6.60942,0.231933,-359.541,0.0040021
36,e-,6.24021,-0.228989,-361.193,0.37132
36,e-,6.43631,-0.83764,-360.478,0.136719
36,e-,5.80831,-1.38501,-365,0.0263094
36,e-,5.78266,-1.51099,-364.838,0.0360478
36,e-,5.74484,-1.67025,-364.688,0.036182
36,e-,5.56747,-1.76036,-364.599,0.0489745
36,e-,5.34491,-1.82877,-364.522,0.0537708
36,e-,5.05101,-1.81444,-364.533,0.0620003
36,e-,4.81396,-1.95952,-364.596,0.0725991
36,e-,4.81524,-2.05547,-364.848,0.042876
36,e-,40.7363,21.1906,-348.644,0.71291
36,e-,41.2168,22.4418,-344.779,1.25184
36,e-,41.3538,24.809,-337.333,0.441602
36,e-,41.2168,22.4418,-344.779,0.477107
36,e-,39.9531,23.6246,-342.818,0.511257
36,e-,38.2342,23.8175,-341.871,0.346305
36,e-,37.3477,23.6779,-341.214,0.233971
36,e-,23.9435,21.2339,-363.477,0.313693
36,e-,24.8751,21.2196,-362.237,0.358644
36,e-,25.9716,21.5919,-361.273,0.676635
36,e-,26.3645,22.8224,-360.806,0.0385592
36,e+,4.07601,0.376408,-365,1.00275
36,e+,4.11342,0.364111,-359.503,1.97877
36,e+,4.06671,0.244707,-350.234,2.52731
36,gamma,4.11342,0.364111,-359.503,0.000538
36,e-,4.11459,0.36327,-358.874,0.00462427
36,e-,1.9493,-0.801656,-347.922,0.376019
36,e-,1.27023,-0.9367,-347.017,0.217645
37,e+,-1.30429,8.60484,-365,3.52584
37,e+,-0.617318,11.0667,-343.87,1.51439
37,gamma,-0.556463,11.2703,-342.392,0.000538
37,e-,-1.3786,14.9221,-338.736,0.0154664
37,e-,-0.556463,11.2703,-342.392,0.000110833
37,e-,39.4859,-7.24285,-365,1.12758
37,e-,40.834,-7.19134,-357.779,0.35591
37,e-,41.1962,-7.15125,-355.966,0.338377
37,e-,41.6095,-7.10672,-353.845,0.355693
37,e-,41.7733,-7.07698,-352.956,3.36707
37,e-,41.7733,-7.07698,-352.956,0.334976
37,e-,42.2135,-6.31161,-352.451,0.200947
37,gamma,40.834,-7.19134,-357.779,0.000538
37,e-,40.8705,-7.18687,-357.586,0.00742231
37,e-,-3.21556,11.528,-359.685,0.390926
37,e-,-2.67252,11.9985,-358.466,0.324099
37,e-,-2.47786,11.5856,-358.134,0.023624
37,e-,3.01159,1.57752,-339.242,0.386342
37,e-,2.07751,2.17456,-338.002,0.490955
37,e-,1.25502,1.80506,-337.733,0.00916567
.2443,-350.94,0.0708592
1,e-,32.6457,3.38299,-335.651,0.19681
1,e-,1.82891,-5.55185,-352.125,0.242942
1,e-,-11.3795,-8.61803,-364.832,0.0504174
1,e-,-33.7406,18.4777,-365,1.51867
1,e-,-34.6097,18.7099,-357.042,0.96834
1,e-,-35.2344,19.9348,-350.955,0.793489
1,e-,-35.4447,22.0723,-346.325,0.707733
1,e-,-35.2451,23.5594,-342.439,0.614386
1,e-,-35.3497,24.47,-339.253,0.414643
1,e-,-34.0245,25.4092,-337.285,0.367848
1,e-,-32.6021,25.8626,-335.959,0.569573
