eventID,volume,particle,energy_MeV,theta_deg,phi_deg
40,BremsTarget,gamma,0.372849,175.465,-114.939
40,Collimator,gamma,0.369223,19.1143,-106.945
40,Collimator,gamma,19.4724,8.90909,-113.46
40,Collimator,gamma,2.68922,6.02524,-103.836
40,Phantom,gamma,2.68922,6.02524,-103.836
40,DWC1,gamma,2.68922,6.02524,-103.836
40,DWC2,gamma,2.68922,6.02524,-103.836
40,Collimator,gamma,4.04006,3.85228,-84.1803
40,Collimator,gamma,19.6155,3.04899,-156.705
40,Phantom,gamma,297.059,2.32146,-159.385
40,Scint1,gamma,297.059,2.32146,-159.385
40,DWC1,gamma,297.059,2.32146,-159.385
40,DWC2,gamma,297.059,2.32146,-159.385
40,Phantom,gamma,2.25276,0.664618,6.80478
40,Phantom,gamma,1.93198,0.272795,66.5288
40,Scint1,gamma,1.93198,0.272795,66.5288
40,DWC1,gamma,1.93198,0.272795,66.5288
40,DWC2,gamma,1.93198,0.272795,66.5288
40,Scint2,gamma,1.93198,0.272795,66.5288
40,Phantom,gamma,154.211,0.984919,98.8896
40,Scint1,gamma,154.211,0.984919,98.8896
40,DWC1,gamma,154.211,0.984919,98.8896
40,DWC2,gamma,154.211,0.984919,98.8896
40,Scint2,gamma,154.211,0.984919,98.8896
40,Scint1,gamma,0.0425105,1.64235,86.8453
40,DWC1,gamma,0.0425105,1.64235,86.8453
40,DWC2,gamma,0.0425105,1.64235,86.8453
40,Scint2,gamma,0.0425105,1.64235,86.8453
40,Scint1,gamma,0.116721,1.67008,85.9027
40,DWC1,gamma,0.116721,1.67008,85.9027
40,DWC2,gamma,0.116721,1.67008,85.9027
40,Scint2,gamma,0.116721,1.67008,85.9027
40,Scint1,gamma,73.155,1.51154,90.5102
40,DWC1,gamma,73.155,1.51154,90.5102
40,DWC2,gamma,73.155,1.51154,90.5102
40,Scint2,gamma,73.155,1.51154,90.5102
40,Phantom,gamma,3.25807,1.19997,72.6316
40,Scint1,gamma,3.25807,1.19997,72.6316
40,DWC1,gamma,3.25807,1.19997,72.6316
40,DWC2,gamma,3.25807,1.19997,72.6316
40,Scint2,gamma,3.25807,1.19997,72.6316
40,Phantom,gamma,81.7954,1.18044,92.0704
