eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
8,Phantom,gamma,17.0278,6.69991,-7.6625,-365,Transportation,World
8,Scint1,e-,4.74395,-4.3802,-27.6124,-202.5,Transportation,World
8,Scint1,gamma,0.0966259,7.11851,-17.1114,-202.5,Transportation,World
8,DWC1,gamma,0.0966259,7.32902,-26.2283,-50,Transportation,World
8,DWC2,gamma,0.0966259,7.67412,-41.1739,200,Transportation,World
8,Collimator,gamma,12.3655,1.66019,15.8457,-575,Transportation,World
8,Phantom,gamma,4.18786,-48.2653,-26.1009,-365,Transportation,World
8,Collimator,e-,24.2707,-37.0654,-1.0637,-575,Transportation,World
8,Phantom,gamma,1.26592,3.7773,7.50666,-365,Transportation,World
8,Collimator,gamma,10.1196,-47.0999,14.1894,-575,Transportation,World
8,Collimator,gamma,3.06931,-39.4514,26.7821,-575,Transportation,World
8,Collimator,gamma,0.822775,45.3357,-26.9596,-575,Transportation,World
8,Collimator,gamma,0.193514,-56.2383,-5.02588,-575,Transportation,World
8,Collimator,gamma,0.679694,-29.431,-2.41066,-575,Transportation,World
8,Collimator,gamma,21.5884,-33.5972,-3.23982,-575,Transportation,World
8,Collimator,gamma,2.59417,-27.5713,-13.8987,-575,Transportation,World
8,Collimator,gamma,0.784639,-58.0555,-5.78909,-575,Transportation,World
8,Phantom,gamma,3.38041,0.573856,0.599786,-365,Transportation,World
8,Scint1,gamma,3.38041,0.825422,0.861878,-202.5,Transportation,World
8,DWC1,gamma,3.38041,1.06151,1.10784,-50,Transportation,World
8,DWC2,gamma,3.38041,1.44853,1.51106,200,Transportation,World
8,Scint2,gamma,3.38041,2.0639,2.15218,597.5,Transportation,World
8,Phantom,gamma,19.5472,-4.60822,-8.08558,-365,Transportation,World
8,Scint1,gamma,19.5472,-6.54399,-11.4919,-202.5,Transportation,World
8,DWC1,gamma,19.5472,-8.36064,-14.6886,-50,Transportation,World
8,DWC2,gamma,19.5472,-11.3388,-19.9291,200,Transportation,World
8,Scint2,gamma,19.5472,-16.0739,-28.2615,597.5,Transportation,World
9,Cherenkov,e-,1999.99,0.0146368,0.00230249,-950,Transportation,World
9,BremsTarget,e-,1999.91,0.0282576,0.00254611,-754.375,Transportation,World
9,Collimator,gamma,3.26462,-20.0522,41.7069,-575,Transportation,World
9,Collimator,gamma,161.891,7.52265,6.5886,-530.931,Transportation,World
9,Phantom,e+,110.802,6.83834,-10.616,-365,Transportation,World
9,Scint1,e+,105.653,2.96333,-21.0142,-202.5,Transportation,World
9,DWC1,e+,104.694,-1.07431,-28.7068,-50,Transportation,World
9,DWC2,e+,104.62,-7.99355,-41.0669,200,Trans,
,51.7022,2.7136,-575,Transportation,World
41,Collimator,gamma,14.0146,37.9011,-3.97891,-575,Transportation,World
41,Collimator,gamma,6.71201,9.80449,1.96774,-573.034,Transportation,World
41,Phantom,gamma,6.71201,21.2859,4.35283,-365,Transportation,World
41,Scint1,gamma,6.71201,30.2544,6.21587,-202.5,Transportation,World
41,DWC1,gamma,6.71201,38.6709,7.96427,-50,Transportation,World
41,DWC2,gamma,6.71201,52.4685,10.8305,200,Transportation,World
41,Collimator,e-,109.403,-6.37114,8.66349,-575,Transportation,World
41,Collimator,e-,8.36301,9.33096,-3.59627,-547.652,Transportation,World
41,Collimator,gamma,0.351383,-3.06092,-9.52002,-551.378,Transportation,World
41,Collimator,gamma,0.579431,-9.40621,3.39458,-529.489,Transportation,World
41,Collimator,gamma,0.138907,9.97849,0.655546,-548.334,Transportation,World
41,Collimator,gamma,0.510999,-8.78005,-4.78651,-554.542,Transportation,World
41,Collimator,e-,4.1489,-9.714,2.37449,-551.873,Transportation,World
41,Collimator,e-,2.33183,2.80003,9.59999,-561.566,Transportation,World
41,Collimator,e-,1.76034,-2.12768,-9.77103,-570.415,Transportation,World
41,Collimator,gamma,1.89716,9.43111,-3.32478,-544.026,Transportation,World
41,Phantom,gamma,1.03384,43.9927,-46.225,-365,Transportation,World
41,Collimator,gamma,0.480168,9.96678,-0.814468,-545.454,Transportation,World
41,Collimator,gamma,1.88493,-3.0086,9.53668,-557.351,Transportation,World
41,Collimator,gamma,0.379698,6.83774,7.29694,-548.805,Transportation,World
41,Collimator,gamma,0.843013,0.968717,9.95297,-564.685,Transportation,World
41,Collimator,gamma,36.1173,7.67357,10.2371,-575,Transportation,World
41,Collimator,gamma,0.55772,-9.64454,2.64251,-545.86,Transportation,World
41,Collimator,gamma,0.934472,7.89681,-6.13518,-525.718,Transportation,World
41,Collimator,gamma,0.319589,7.29298,12.4748,-575,Transportation,World
41,Phantom,e-,249.215,1.63691,8.37559,-365,Transportation,World
41,Scint1,e-,244.365,3.14804,12.57,-202.5,Transportation,World
41,DWC1,e-,243.379,4.62386,16.3824,-50,Transportation,World
41,DWC2,e-,243.294,10.5869,22.4591,200,Transportation,World
41,Scint2,e-,243.199,21.1986,32.0012,597.5,Transportation,World
41,Phantom,gamma,1.46336,7.72751,10.3106,-365,Transportation,World
41,Scint1,gamma,1.46336,11.0462,14.7246,-202.5,Transportation,World
41,DWC1,gamma,1.46336,14.1608,18.867,-50,Transportation,World
41,DWC2,gamma,1.46336,19.2665,25.6578,200,Transportation,World
41,Scint2,gamma,1.46336,27.3846,36.4551,597.5,Transportation,World
41,Phantom,gamma,1.0932,12.2293,9.19691,-365,Transportation,World
41,Scint1,gamma,1.0932,17.4687,13.1363,-202.5,Transportation,World
41,DWC1,gamma,1.0932,22.3856,16.8333,-50,Transportation,World
41,DWC2,gamma,1.0932,30.4461,22.894,200,Transportation,World
41,Scint2,gamma,1.0932,43.2623,32.5304,597.5,Transportation,World
