eventID,volume,particle,energy_MeV,theta_deg,phi_deg
18,Collimator,gamma,1.00051,7.56857,168.738
18,Collimator,gamma,0.458143,15.0076,-108.18
18,Collimator,gamma,19.9244,2.55412,170.634
18,Phantom,gamma,19.9244,2.55412,170.634
18,Phantom,gamma,28.8771,2.26087,-132.663
18,Scint1,gamma,28.8771,2.26087,-132.663
18,DWC1,gamma,28.8771,2.26087,-132.663
18,DWC2,gamma,28.8771,2.26087,-132.663
18,Scint2,gamma,28.8771,2.26087,-132.663
18,Phantom,gamma,5.95484,2.13814,-136.776
18,Scint1,gamma,5.95484,2.13814,-136.776
18,DWC1,gamma,5.95484,2.13814,-136.776
18,DWC2,gamma,5.95484,2.13814,-136.776
18,Scint2,gamma,5.95484,2.13814,-136.776
18,Collimator,gamma,0.717431,4.20729,-174.448
18,Collimator,gamma,146.82,4.22808,-56.486
18,Collimator,gamma,0.510999,65.9574,96.7159
18,Collimator,gamma,0.766978,115.834,120.042
18,Collimator,gamma,1.84824,4.00169,-85.1474
19,Phantom,gamma,1.07723,0.684545,-30.7647
19,Scint1,gamma,1.07723,0.684545,-30.7647
19,DWC1,gamma,1.07723,0.684545,-30.7647
19,DWC2,gamma,1.07723,0.684545,-30.7647
19,Scint2,gamma,1.07723,0.684545,-30.7647
19,Collimator,gamma,10.2191,12.7494,69.1042
19,Collimator,gamma,12.1592,7.36006,140.513
19,Collimator,gamma,4.29908,3.16429,125.196
19,Collimator,gamma,0.510999,119.233,-15.8281
19,Collimator,gamma,0.575022,39.4784,-3.75067
19,Collimator,gamma,0.727386,107.88,-63.727
19,Collimator,gamma,1.10035,104.357,-61.3033
19,Collimator,gamma,1.67517,72.3,-62.7303
19,Phantom,gamma,0.566862,2.9795,-155.503
19,BremsTarget,gamma,0.17646,172.66,-29.3129
19,Collimator,gamma,0.744076,56.842,-51.584
19,Phantom,gamma,0.688875,3.07049,175.059
19,Scint1,gamma,0.688875,3.07049,175.059
19,DWC1,gamma,0.688875,3.07049,175.059
19,DWC2,gamma,0.688875,3.07049,175.059
19,Collimator,gamma,9.20988,4.99148,129.799
19,Collimator,gamma,35.805,17.884,105.303
19,Collimator,gamma,1.97201,16.28,117.299
19,Collimator,gamma,5.32236,9.06173,150.769
19,Collimator,gamma,3.17296,4.06303,129.293
19,Phantom,gamma,63.3178,0.713979,-173.713
19,Scint1,gamma,63.3178,0.713979,-173.713
19,DWC1,gamma,63.3178,0.713979,-173.713
19,DWC2,gamma,63.3178,0.713979,-173.713
19,Scint2,gamma,63.3178,0.713979,-173.713
19,Collimator,gamma,10.6009,12.9461,-67.6468
33
71,Collimator,gamma,0.510999,39.4392,152.425
71,Cherenkov,gamma,0.489053,155.024,-132.754
704,88.8136
75,DWC1,gamma,3.05854,7.59704,88.8136
75,Collimator,gamma,2.72513,4.32842,60.7104
75,Collimator,gamma,0.510999,19.9757,-83.1229
75,Collimator,gamma,0.336705,8.6543,-116.516
75,Collimator,gamma,4.24978,5.78031,139.019
75,Phantom,gamma,8.10062,0.666565,-92.9988
75,Scint1,gamma,8.10062,0.666565,-92.9988
75,DWC1,gamma,8.10062,0.666565,-92.9988
75,DWC2,gamma,8.10062,0.666565,-92.9988
75,Scint2,gamma,8.10062,0.666565,-92.9988

27,Collimator,gamma,4.52306,3.48937,-9.79837
27,Collimator,gamma,0.402708,2.89398,-27.9459
27,Phantom,gamma,7.37667,2.17165,-21.5921
27,Scint1,gamma,7.37667,2.17165,-21.5921
27,DWC1,gamma,7.37667,2.17165,-21.5921
27,DWC2,gamma,7.37667,2.17165,-21.5921
27,Scint2,gamma,7.37667,2.17165,-21.5921
27,Collimator,gamma,4.05226,3.56878,-9.52983
27,Collimator,gamma,0.560302,3.5863,-12.192
27,Collimator,gCollimator,gamma,56.6664,2.67137,52.2892
59,Collimator,gamma,0.510999,80.9206,-139.748
59,Collimator,gamma,16.4198,23.6308,-136.831
